Title,Company,Position,Deadline,Employment Type,Salary,Work Location,Grade,Stack,Link
[ESTsecurity] 정보보호 백엔드 개발자 (신입/경력),이스트시큐리티,서버/백엔드,상시,,,"서울 서초구 반포대로 3, 3층
지도보기·주소복사",무관,"['Python', 'Django', 'REST API', 'DB', 'Docker', 'Redux', 'Git']",https://www.jumpit.co.kr/position/16034
[GMS] Test Automation Engineer,글로벌모터서비스,서버/백엔드,상시,,,"서울 강남구 테헤란로 447, 14층
지도보기·주소복사",무관,"['python', 'javascript', 'android os', 'aws batch', 'linux']",https://www.jumpit.co.kr/position/15642
ERP 서비스 개발(C#) 신입/경력 채용,기웅정보통신,서버/백엔드,2023-06-30,,,"서울 금천구 가산디지털2로 98, 2동 613호, 614호, 615호
지도보기·주소복사",대학교졸업(4년) 이상,"['C#', 'C++', 'MSSQL', 'Microsoft IIS', 'ERP', 'CSS 3']",https://www.jumpit.co.kr/position/16597
백엔드 개발자 채용,피아스페이스,서버/백엔드,상시,,,"서울 서초구 태봉로 114 양재AI허브 5층, 8층 피아스페이스
지도보기·주소복사",대학교졸업(4년) 이상,"['Python', 'Node.js', 'REST API', 'NoSql', 'Git']",https://www.jumpit.co.kr/position/16901
코아인텍 백엔드 개발자,코아인텍,서버/백엔드,2023-05-31,,,"서울 영등포구 양평로21길 26, 1303호
지도보기·주소복사",고등학교졸업 이상,"['python', 'django', 'aws', 'centos', 'java', 'spring boot', 'react']",https://www.jumpit.co.kr/position/15641
백엔드 서버 개발자,브리치,서버/백엔드,상시,,,"서울시 강남구 역삼동 620 , L1 브리치
지도보기·주소복사",무관,"['PHP', 'CodeIgniter', 'Laravel', 'React.js Boilerplate', 'Vue.js', 'AngularJS', 'REST API', 'Git', 'JavaScript']",https://www.jumpit.co.kr/position/5421
백엔드 개발자 채용(주니어급),패션플러스,서버/백엔드,2023-05-31,,,"경기 성남시 분당구 판교로 242, A동 1002호
지도보기·주소복사",고등학교졸업 이상,"['MSSQL', 'SCSS', 'JavaScript', 'C#', '.NET']",https://www.jumpit.co.kr/position/16641
AI반도체 생태계 조성에 필요한 S/W 개발,두다지,서버/백엔드,상시,,,"경기 성남시 분당구 대왕판교로645번길 12 9층 A06호
지도보기·주소복사",대학교졸업(4년) 이상,"['C', 'C++', 'Docker', 'Kubernetes', 'Network']",https://www.jumpit.co.kr/position/16477
[신입/경력] STO 플랫폼 서비스 블록체인 개발,블록체인글로벌,서버/백엔드,2023-07-31,,,"서울 영등포구 여의나루로 57, 신송센터빌딩 10층
지도보기·주소복사","대학졸업(2,3년) 이상","['Java', 'Kotlin', 'Docker', 'Kubernetes', 'Hyperledger Fabric', 'Go', 'Node.js', 'Solidity']",https://www.jumpit.co.kr/position/16841
[신입/경력] 서버 네트워크 엔지니어,에이스랩,서버/백엔드,상시,,,"서울시 강남구 언주로 81길 13 4층
지도보기·주소복사",대학교졸업(4년) 이상(졸업예정자 가능),"['C', 'C++', 'Socket.IO', 'Docker', 'Network', 'TCP/IP', 'Linux']",https://www.jumpit.co.kr/position/14240
서버/백엔드 신입 및 경력,라온로드,서버/백엔드,상시,,,"경기도 성남시 분당구 판교로 723B동 406-1호
지도보기·주소복사",대학교졸업(4년) 이상,"['REST API', 'Go', 'Python', 'Java', 'Node.js', 'C++', 'Oracle', 'MSSQL', 'MySQL', 'PostgreSQL']",https://www.jumpit.co.kr/position/16027
"서버 백엔드 개발자 (1년 계약직, 정규직 전환 가능)",클레온,서버/백엔드,상시,,,"서울 중구 소월로2길 30 티타워 18층 클레온
지도보기·주소복사",대학교졸업(4년) 이상,"['Kotlin', 'Spring Framework', 'Amazon CloudFront', 'Node.js', 'Python', 'Git', 'Docker', 'PostgreSQL', 'MySQL']",https://www.jumpit.co.kr/position/16860
백엔드 개발자 모집,복지용구의료기,서버/백엔드,상시,,,"전라남도 순천시 해룡면 순광로218 1층 (수)의료기
지도보기·주소복사",무관,"['Python', 'JavaScript', 'MySQL', 'Node.js', 'Electron', 'Selenium']",https://www.jumpit.co.kr/position/14797
백엔드 개발자,오더체크,서버/백엔드,상시,,,"서울 성동구 왕십리로 125, 4층 419호
지도보기·주소복사",무관,"['Node.js', 'Sequelize', 'MySQL', 'ExpressJS', 'AWS']",https://www.jumpit.co.kr/position/11624
[CARENATION] 백엔드 개발자(Php),에이치엠씨네트웍스,서버/백엔드,상시,,,"서울특별시 강남구 테헤란로8길 37(역삼동) 한동빌딩 5층
지도보기·주소복사",무관,"['MySQL', 'MariaDB', 'HTML5', 'CSS 3', 'jQuery', 'Bootstrap', 'Spring Framework', 'PHP']",https://www.jumpit.co.kr/position/11538
클라우드/MSA/A.I. 플랫폼 개발자,시프트원,서버/백엔드,상시,,,"서울 강남구 역삼로17길 9, 201호 / 동탄 (S전자) / 정자 (OO하이닉스)
지도보기·주소복사",대학교졸업(4년) 이상,"['Kubernetes', 'Python', 'Go', 'GitLab', 'Argo', 'Docker', 'MSA']",https://www.jumpit.co.kr/position/4334
서버/백엔드 개발자 정규직 신입 채용,디지타이드,서버/백엔드,상시,,,"서울 종로구 사직로8길 34, 718호
지도보기·주소복사","대학졸업(2,3년) 이상","['Linux', 'C', 'C++']",https://www.jumpit.co.kr/position/4664
[뉴링크] 백엔드 ( 신입 ),뉴링크,서버/백엔드,상시,,,"서울시 강남구 학동로 31길 12
지도보기·주소복사",무관,"['Swift', 'Node.js', 'Git', 'Java', 'Spring Boot', 'Elasticsearch', 'React', 'Kotlin', 'MariaDB', 'Blockchain']",https://www.jumpit.co.kr/position/5338
블록체인 백엔드 개발(신입),뉴링크,서버/백엔드,상시,,,"서울시 강남구 학동로 31길 12, 5층
지도보기·주소복사",무관,"['AWS', 'Git', 'Linux', 'Swift', 'React', 'iOS', 'Android OS', 'Java', 'MSSQL', 'JavaScript']",https://www.jumpit.co.kr/position/7076
