공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
PHP 개발자 (운영 및 유지보수),아파트스토리,백엔드,상시,,,"서울 서초구 강남대로 311, 1007호
·",무관,"[""PHP"", ""기술이 아님"", ""Git"", ""Docker"", ""JavaScript"", ""Bootstrap"", ""MySQL"", ""ES6"", ""K8S""]",https://www.jumpit.co.kr/position/5238
웹프론트엔드 및 백엔드 개발자 신입/경력 채용,엠투아이코퍼레이션,백엔드,상시,,,"경기 안양시 동안구 시민대로 327번길 11-35
·",대학교졸업(4년) 이상,"[""React"", ""Node.js""]",https://www.jumpit.co.kr/position/14544
[ESTsecurity] 정보보호 백엔드 개발자 (신입/경력),이스트시큐리티,백엔드,상시,,,"서울 서초구 반포대로 3, 3층
·",무관,"[""Python"", ""Django"", ""기술이 아님"", ""Docker"", ""Redux"", ""Git""]",https://www.jumpit.co.kr/position/16034
"서버 백엔드 개발자 (1년 계약직, 정규직 전환 가능)",클레온,백엔드,상시,,,"서울 중구 소월로2길 30 티타워 18층 클레온
·",대학교졸업(4년) 이상,"[""Kotlin"", ""Spring"", ""AWS"", ""Node.js"", ""Python"", ""Git"", ""Docker"", ""PostgreSQL"", ""MySQL""]",https://www.jumpit.co.kr/position/16860
ERP 서비스 개발(C#) 신입/경력 채용,기웅정보통신,백엔드,2023-06-30,,,"서울 금천구 가산디지털2로 98, 2동 613호, 614호, 615호
·",대학교졸업(4년) 이상,"[""C#"", ""C / C++"", ""MSSQL"", ""Microsoft IIS"", ""기술이 아님"", ""CSS""]",https://www.jumpit.co.kr/position/16597
백엔드 서버 개발자,브리치,백엔드,상시,,,"서울 강남구 역삼동 620 , L1 브리치
·",무관,"[""PHP"", ""CodeIgniter"", ""Laravel"", ""Redux"", ""Vue.JS"", ""Angular"", ""기술이 아님"", ""Git"", ""JavaScript""]",https://www.jumpit.co.kr/position/5421
백엔드 개발자 채용(주니어급),패션플러스,백엔드,2023-05-31,,,"경기 성남시 분당구 판교로 242, A동 1002호
·",고등학교졸업 이상,"[""MSSQL"", ""SASS"", ""JavaScript"", ""C#"", "".NET""]",https://www.jumpit.co.kr/position/16641
AI반도체 생태계 조성에 필요한 S/W 개발,두다지,백엔드,상시,,,"경기 성남시 분당구 대왕판교로645번길 12 9층 A06호
·",대학교졸업(4년) 이상,"[""C / C++"", ""Docker"", ""Kubernetes"", ""기술이 아님""]",https://www.jumpit.co.kr/position/16477
[신입/경력] 서버 네트워크 엔지니어,에이스랩,백엔드,상시,,,"서울 강남구 언주로 81길 13 4층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""C / C++"", ""Socket.IO"", ""Docker"", ""기술이 아님"", ""Linux""]",https://www.jumpit.co.kr/position/14240
[GMS] Test Automation Engineer,글로벌모터서비스,백엔드,상시,,,"서울 강남구 테헤란로 447, 14층
·",무관,"[""Python"", ""JavaScript"", ""Android Studio"", ""aws batch"", ""Linux""]",https://www.jumpit.co.kr/position/15642
서버/백엔드 신입 및 경력,라온로드,백엔드,상시,,,"경기 성남시 분당구 판교로 723B동 406-1호
·",대학교졸업(4년) 이상,"[""기술이 아님"", ""Go"", ""Python"", ""Java"", ""Node.js"", ""C / C++"", ""Oracle"", ""MSSQL"", ""MySQL"", ""PostgreSQL""]",https://www.jumpit.co.kr/position/16027
백엔드 개발자 모집,복지용구의료기,백엔드,상시,,,"전남 순천시 해룡면 순광로218 1층 (수)의료기
·",무관,"[""Python"", ""JavaScript"", ""MySQL"", ""Node.js"", ""Electron"", ""Selenium""]",https://www.jumpit.co.kr/position/14797
백엔드 개발자,오더체크,백엔드,상시,,,"서울 성동구 왕십리로 125, 4층 419호
·",무관,"[""Node.js"", ""Sequelize.js"", ""MySQL"", ""ExpressJS"", ""AWS""]",https://www.jumpit.co.kr/position/11624
[CARENATION] 백엔드 개발자(Php),에이치엠씨네트웍스,백엔드,상시,,,"서울 강남구 테헤란로8길 37(역삼동) 한동빌딩 5층
·",무관,"[""MySQL"", ""MariaDB"", ""HTML"", ""CSS"", ""jQuery"", ""Bootstrap"", ""Spring"", ""PHP""]",https://www.jumpit.co.kr/position/11538
