공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
프론트엔드 경력 채용 (React),코드크레인,프론트엔드,상시,,,"서울 광진구 천호대로 537, 15층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""React"", ""Node.js"", ""MySQL"", ""JavaScript"", ""HTML"", ""CSS""]",https://www.jumpit.co.kr/position/9436
프론트엔드 개발자 모집,바로티나,프론트엔드,상시,,,"경기 성남시 분당구 황새울로 224, 920호
·",무관,"[""JavaScript"", ""React"", ""AWS"", ""Git"", ""Apache"", ""TypeScript"", ""MySQL"", ""Linux"", ""HTML"", ""CSS""]",https://www.jumpit.co.kr/position/2335
Flutter Front-end 개발자,파토스,프론트엔드,상시,,,"서울 구로구 디지털로30길 31 코오롱빌란트2차 10층 1009호
·",무관,"[""Flutter"", ""Dart"", ""Node.js"", ""기술이 아님"", ""Docker"", ""Git"", ""Android Studio""]",https://www.jumpit.co.kr/position/6517
웹 개발자 신입 채용,쿤텍,프론트엔드,상시,,,"경기 성남시 수정구 창업로 54, LH기업성장센터 나동 232호
·",무관,"[""Node.js"", ""Next.js"", ""React"", ""HTML"", ""CSS"", ""H2 Database"", ""MySQL"", ""MongoDB""]",https://www.jumpit.co.kr/position/16700
프론트엔드 개발자,아이트럭,프론트엔드,상시,,,"서울 서초구 동작대로 230, 10F (방배동 화련회관)
·",무관,"[""JavaScript"", ""Node.js"", ""Python"", ""SQL"", ""기술이 아님"", ""Kotlin"", ""Java""]",https://www.jumpit.co.kr/position/7085
블록체인 게임 플랫폼 백오피스 프론트엔드 개발자,위메이드,프론트엔드,2023-05-31,,,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·",무관,"[""React"", ""Socket.IO"", ""Figma"", ""Angular"", ""Vue.JS""]",https://www.jumpit.co.kr/position/16077
[신입] 웹 프론트엔드 개발자,엔엑스테크놀로지,프론트엔드,상시,,,"울산 울주군 범서읍 대리2길 57, 5층 (OS빌딩), 서울 마포구 월드컵북로 396 누리꿈스퀘어 R&D타워 1104호
·",무관,"[""HTML"", ""CSS"", ""JavaScript"", ""React"", ""Angular"", ""기술이 아님"", ""NoSQL""]",https://www.jumpit.co.kr/position/7937
프론트엔드 개발자 모집,복지용구의료기,프론트엔드,상시,,,"전남 순천시 해룡면 순광로218 1층 (수)의료기
·",무관,"[""HTML"", ""CSS"", ""JavaScript"", ""Electron""]",https://www.jumpit.co.kr/position/14796
웹 프론트엔드 개발자(병역특례_보충역 지원 가능),아이티엘,프론트엔드,상시,,,"서울 서초구 바우뫼로 175, 4층,5층(양재동,창덕빌딩)
·",무관,"[""JavaScript"", ""Git"", ""React"", ""Vue.JS"", ""HTML"", ""CSS""]",https://www.jumpit.co.kr/position/6608
Vue 프론트엔드 개발자,테이블엔조이,프론트엔드,상시,,,"서울 구로구 디지털로26길 111 제이앤케이디지털타워 401호
·",무관,"[""ES6"", ""Vue.JS"", ""Webpack"", ""Nuxt.js"", ""PM2"", ""TypeScript"", ""CSS"", ""SASS"", ""React"", ""JavaScript""]",https://www.jumpit.co.kr/position/14044
프론트엔드 개발자 채용,원투씨엠,프론트엔드,상시,,,"경기 성남시 분당구 판교로255번길 35 (판교실리콘파크) a동 5층
·",대학교졸업(4년) 이상,"[""Vue.JS"", ""JavaScript"", ""CSS"", ""HTML"", ""기술이 아님"", ""NGINX"", ""OAuth2""]",https://www.jumpit.co.kr/position/8443
[JNPMEDI] 풀스택 개발자 신입 모집,제이앤피메디,웹개발,상시,,,"인천 연수구 컨벤시아대로 165, 포스코타워 송도 31층
·",무관,"[""React"", ""TypeScript"", ""JSX"", ""SASS"", ""Git"", ""Node.js"", ""MySQL"", ""AWS""]",https://www.jumpit.co.kr/position/10506
[병역특례] 풀스택 개발 산업기능요원 모집,넛지헬스케어,웹개발,상시,,,"서울 강남구 역삼로1길 8
·",무관,"[""Node.js"", ""기술이 아님"", ""AWS"", ""Git"", ""Python"", ""JavaScript""]",https://www.jumpit.co.kr/position/12720
웹풀스택 개발자,이스트게임즈,웹개발,상시,,,"서울 서초구 반포대로 3, 5층
·",무관,"[""Java"", ""JavaScript"", ""jQuery"", ""Spring"", ""Python"", ""Django"", ""React"", ""HTML"", ""MySQL"", ""TypeScript""]",https://www.jumpit.co.kr/position/2035
ASP.NET 신입 개발자 모집,오엠티아이코리아,웹개발,2023-06-11,,,"서울 서초구 서초대로27길 54, 1층
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""ASP.NET"", ""JavaScript"", ""jQuery"", ""CSS"", ""HTML"", ""SQL 서버"", ""Azure"", ""Ajax"", ""Spring""]",https://www.jumpit.co.kr/position/15073
핀테크 관련 웹 개발자 채용 공고,디알엠인사이드,웹개발,2023-05-31,,,"서울 송파구 송파대로 167 1608,1609호(문정동, 문정역테라타워 1)
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Java"", ""JavaScript"", ""Git"", ""Spring"", ""TypeScript"", ""Angular"", ""CSS""]",https://www.jumpit.co.kr/position/16131
차세대 웹 콘텐츠 보안 솔루션 개발자 (신입/경력),디알엠인사이드,웹개발,2023-05-31,,,"서울 송파구 송파대로 167 1608,1609호(문정동, 문정역테라타워 1)
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Java"", ""JavaScript"", ""Spring"", ""HTML"", ""Git"", ""CSS""]",https://www.jumpit.co.kr/position/16629
"내부전산시스템 / WEB개발, 운영 모집",아이즈비전,웹개발,상시,,,"서울 동작구 여의대방로62길 1 2층
·","대학졸업(2,3년) 이상","[""PHP"", ""Oracle"", ""JavaScript"", ""Linux"", ""Git"", ""SQL"", ""jQuery""]",https://www.jumpit.co.kr/position/16541
웹 풀스택 개발자,지에이파트너스,웹개발,상시,,,"서울 구로구 디지털로34길55 코오롱싸이언스밸리2차 911호
·",무관,"[""PHP"", ""Java"", ""MySQL"", ""JavaScript"", ""Apache"", ""Linux""]",https://www.jumpit.co.kr/position/11826
AI 플랫폼컨설팅 프론트엔드 / 백엔드 개발자,애자일소다,웹개발,상시,,,"서울 강남구 선릉로 525 인포스톰 3층
·",무관,"[""JavaScript"", ""Node.js"", ""기술이 아님"", ""HTML"", ""CSS"", ""jQuery"", ""Oracle"", ""MySQL"", ""Java""]",https://www.jumpit.co.kr/position/16545
[협업툴 플로우] 엔터프라이즈 개발자 모집중,마드라스체크,웹개발,2023-06-06,,,"서울 영등포구 영신로 220, 14층 1410호
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Java"", ""JavaScript"", ""jQuery"", ""Node.js"", ""기술이 아님"", ""Linux"", ""AWS""]",https://www.jumpit.co.kr/position/14021
PHP 개발자,휴먼이즈,웹개발,상시,,,"서울 용산구 효창동 5-29 4층
·",무관,"[""PHP"", ""HTML"", ""CSS"", ""MySQL"", ""jquery""]",https://www.jumpit.co.kr/position/15530
"[AI 플랫폼 개발] AI(인공지능) 및 Node.js(Backend), React(Frontend) 풀스택 개발자 채용",판도플랫폼,웹개발,2023-05-30,,,"경기 성남시 분당구 정자일로 162 젤존타워2 801호
·",무관,"[""Node.js"", ""AWS"", ""NoSQL"", ""기술이 아님"", ""React"", ""Python""]",https://www.jumpit.co.kr/position/16206
[군산근무] 웹 & App 개발 및 운영자 (신입&경력),브이엔티지,웹개발,상시,,,"전북 군산시 외항로 522 브이엔티지
·",무관,"[""C#"", ""Flutter"", ""React"", ""React Native"", ""Python"", ""Django"", ""Oracle"", ""Git""]",https://www.jumpit.co.kr/position/16305
웹 개발자 신입 채용,쿤텍,웹개발,상시,,,"경기 성남시 수정구 창업로 54, LH기업성장센터 나동 232호
·",무관,"[""Node.js"", ""Next.js"", ""React"", ""HTML"", ""CSS"", ""H2 Database"", ""MySQL"", ""MongoDB""]",https://www.jumpit.co.kr/position/16700
"MSA 개발자(Spring Boot, Vue.JS) 채용",테이블엔조이,웹개발,상시,,,"서울 구로구 디지털로26길 111 제이앤케이디지털타워 401호
·",대학교졸업(4년) 이상,"[""Java"", ""Spring"", ""Vue.JS"", ""Azure"", ""MariaDB"", ""Git"", ""React"", ""TypeScript"", ""Angular"", ""MSA""]",https://www.jumpit.co.kr/position/13733
통합 보안 솔루션 개발자 채용,SGA솔루션즈,웹개발,상시,,,"서울 송파구 정의로8길9
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""Spring"", ""Java"", ""HTML"", ""CSS"", ""Apache""]",https://www.jumpit.co.kr/position/14957
[인터뷰박스x알고리즘잡스] 부트캠프 IT강사 채용,에이블제이,웹개발,상시,,,"서울 강남구 테헤란로1길 28-9, 성은빌딩 4층
·",무관,"[""Java"", ""Spring"", ""MySQL"", ""jQuery"", ""AWS"", ""Mybatis""]",https://www.jumpit.co.kr/position/15895
"[긴급] 웹개발자 모집합니다(jsp,java)",상록아이엔씨,웹개발,상시,,,"경기 부천시 중동로 248번길 71
·","대학졸업(2,3년) 이상","[""JSP"", ""Java"", ""JavaScript"", ""React"", ""Spring"", ""TypeScript"", ""ExpressJS""]",https://www.jumpit.co.kr/position/12030
웹개발자 채용,모니터랩,웹개발,상시,,,"서울 구로구 디지털로 27가길 27 아남빌딩 8, 9층
·",대학교졸업(4년) 이상,"[""PHP"", ""Linux"", ""PostgreSQL"", ""NGINX"", ""HTML"", ""JavaScript"", ""CSS"", ""Python"", ""기술이 아님""]",https://www.jumpit.co.kr/position/1061
C / Linux 개발자,모니터랩,웹개발,상시,,,"서울 구로구 디지털로 27가길 27 아남빌딩 8, 9층
·",무관,"[""C / C++"", ""Python"", ""Go"", ""Java"", ""JavaScript"", ""Linux"", ""기술이 아님""]",https://www.jumpit.co.kr/position/13302
엔터프라이즈 웹서비스 개발자(병역특례_보충역 지원 가능),아이티엘,웹개발,상시,,,"서울 서초구 바우뫼로 175, 4층,5층(양재동,창덕빌딩)
·",무관,"[""Java"", ""Python"", ""MySQL"", ""PostgreSQL"", ""Oracle"", ""NGINX"", ""Apache"", ""Scala"", ""Kotlin""]",https://www.jumpit.co.kr/position/12464
[HFR] Mobile NMS/EMS 개발,에치에프알,웹개발,상시,,,"경기 성남시 분당구 성남대로43번길 10(구미동), 5층
·","대학졸업(2,3년) 이상","[""Spring"", ""Java"", ""Nginx"", ""MariaDB"", ""MongoDB"", ""JavaScript"", ""jquery"", ""Angular"", ""Vue.JS"", ""React""]",https://www.jumpit.co.kr/position/15052
전자결제서비스(PG) 연동 PHP/REACT 개발자,시큐어,웹개발,상시,,,"서울 강남구 테헤란로 504 (대치동, 해성빌딩) 4층
·",무관,"[""PHP"", ""React"", ""기술이 아님""]",https://www.jumpit.co.kr/position/9361
솔루션 정책 관리용 웹애플리케이션 개발자,에스엔솔루션즈,웹개발,상시,,,"경북 안동시 천년숲서로 7-19
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""JavaScript"", ""SQL"", ""Django"", ""Flask"", ""Python""]",https://www.jumpit.co.kr/position/3773
웹 프로그래머(신입 및 경력),부산일보,웹개발,상시,,,"부산 동구 중앙대로 365
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""PHP"", ""Java"", ""Apache"", ""Linux"", ""AWS"", ""JSP""]",https://www.jumpit.co.kr/position/15440
'PHP 웹 개발자' 채용합니다.,렌탈프랜드,웹개발,상시,,,"경기 고양시 일산동구 백마로 195, 제9001-5, 6, 7호(장항동, 엠시티타워&엠시티오피스텔)
·",무관,"[""PHP""]",https://www.jumpit.co.kr/position/5433
[군산근무] MES 시스템 프로그램 유지보수 및 개발 (신입/경력),브이엔티지,웹개발,상시,,,"전북 군산시 외항로 522 브이엔티지
·",무관,"[""C#"", ""Python"", ""Oracle"", ""C / C++"", ""MES"", "".NET"", ""MSSQL"", ""SQL"", ""기술이 아님""]",https://www.jumpit.co.kr/position/16950
[병역특례 지원 가능] 소프트웨어 개발 (BSP),드림에이스,모바일,2023-06-16,,,"서울 성동구 성수일로 19, 유한타워 1-3층, 8층
·",무관,"[""Linux"", ""Android Studio"", ""기술이 아님"", ""Embedded Linux"", ""C / C++""]",https://www.jumpit.co.kr/position/16004
[병역특례] 안드로이드 개발 산업기능요원 모집,넛지헬스케어,모바일,상시,,,"서울 강남구 역삼로1길 8
·",무관,"[""Kotlin"", ""기술이 아님"", ""Git"", ""Android Studio""]",https://www.jumpit.co.kr/position/12001
[패스오더] Android 개발자 (병역특례/산업기능요원/보충역/전직),페이타랩,모바일,상시,,,"서울 강남구 영동대로 85길 34, 6층
·",무관,"[""Java"", ""Kotlin"", ""Android Studio"", ""Git"", ""기술이 아님"", ""Notion"", ""Socket.IO""]",https://www.jumpit.co.kr/position/6947
안드로이드 개발자 채용,솔티드,모바일,상시,,,"경기 하남시 미사강변한강로 135 스카이폴리스 4층 다동 423호 424호
·",무관,"[""Kotlin"", ""Java"", ""Git"", ""Figma"", ""Android Studio""]",https://www.jumpit.co.kr/position/13407
안드로이드 개발자,티알,모바일,상시,,,"대전 유성구 대학로 99, 405호
·",무관,"[""Android Studio"", ""Kotlin"", ""Java"", ""Git""]",https://www.jumpit.co.kr/position/12488
안드로이드 앱 모듈 개발자,아이나비시스템즈,모바일,상시,,,"경기 성남시 분당구 판교역로 240
·",무관,"[""C / C++"", ""Java"", ""Android Studio"", ""기술이 아님""]",https://www.jumpit.co.kr/position/8188
모바일 앱 개발,코리아폴리스쿨,모바일,상시,,,"서울 송파구 송파대로 201, B동 4층
·",대학교졸업(4년) 이상,"[""Java"", ""Kotlin"", ""Swift"", ""Objective-C"", ""기술이 아님"", ""Android Studio""]",https://www.jumpit.co.kr/position/16287
안드로이드 개발자 정규직 신입 채용,디지타이드,모바일,상시,,,"서울 종로구 사직로8길 34, 718호
·","대학졸업(2,3년) 이상","[""Android Studio"", ""HTML""]",https://www.jumpit.co.kr/position/4662
[MiNER] 안드로이드 개발자,마이너,모바일,상시,,,"서울 관악구 호암로 597
·",무관,"[""Android Studio"", ""Kotlin"", ""OkHttp"", ""기술이 아님"", ""Git"", ""Java""]",https://www.jumpit.co.kr/position/2823
안드로이드 개발자 채용,모니터랩,모바일,상시,,,"서울 구로구 디지털로 27가길 27 아남빌딩 8, 9층
·",무관,"[""Java"", ""Kotlin"", ""Android Studio""]",https://www.jumpit.co.kr/position/14716
[베스텔라랩] 안드로이드 개발자,베스텔라랩,모바일,2023-05-31,,,"서울 마포구 백범로31길 21, 5층 530호(공덕동, 서울창업허브) / 경기 안양시 동안구 엘에스로116번길 118 안양2차 SKV1 926호 / 경기 성남시 수정구 대왕판교로815 849호
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""AWS"", ""Git"", ""Swift"", ""Kotlin"", ""Java"", ""Android Studio""]",https://www.jumpit.co.kr/position/5246
iOS/Android 신입 채용,코드크레인,모바일,상시,,,"서울 광진구 천호대로 537, 15층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Swift"", ""Android Studio"", ""Kotlin""]",https://www.jumpit.co.kr/position/16815
WATA Inc Android 앱개발 직군 모집,WATA Inc.,모바일,상시,,,"경기 성남시 분당구 대왕판교로 670, 유스페이스2 B동 403호
·",석사졸업 이상,"[""Java"", ""Kotlin"", ""Android Studio"", ""C / C++""]",https://www.jumpit.co.kr/position/9068
Mobile APP S/W 개발자,엠브레인,모바일,상시,,,"경기 용인시 기흥구 서천로 201번길 11, 7층 제티-740호(농서동, 기흥테라타워 지식산업센터)
·",무관,"[""Android Studio"", ""Java"", ""Kotlin"", ""기술이 아님"", ""Swift"", ""Objective-C""]",https://www.jumpit.co.kr/position/11305
[아이센스] iOS 앱개발자 경력직 모집,아이센스(caresens),모바일,상시,,,"서울 서초구 반포대로28길 43
·",대학교졸업(4년) 이상,"[""Swift"", ""Objective-C""]",https://www.jumpit.co.kr/position/16220
[병역특례] iOS개발 산업기능요원 모집,넛지헬스케어,모바일,상시,,,"서울 강남구 역삼로1길 8
·",무관,"[""Swift"", ""기술이 아님"", ""Rxswift""]",https://www.jumpit.co.kr/position/11994
모바일 앱 개발,코리아폴리스쿨,모바일,상시,,,"서울 송파구 송파대로 201, B동 4층
·",대학교졸업(4년) 이상,"[""Java"", ""Kotlin"", ""Swift"", ""Objective-C"", ""기술이 아님"", ""Android Studio""]",https://www.jumpit.co.kr/position/16287
IOS 개발자 채용,러닝포인트,모바일,상시,,,"서울 마포구 마포대로 78, 11층 1116호
·","대학졸업(2,3년) 이상","[""기술이 아님"", ""Swift"", ""Socket.IO"", ""Firebase"", ""Git""]",https://www.jumpit.co.kr/position/13149
[베스텔라랩] iOS 개발자,베스텔라랩,모바일,2023-05-31,,,"경기 성남시 수정구 대왕판교로 815 849호
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""Spring"", ""AWS"", ""Git"", ""Swift"", ""Kotlin"", ""기술이 아님""]",https://www.jumpit.co.kr/position/5248
iOS/Android 신입 채용,코드크레인,모바일,상시,,,"서울 광진구 천호대로 537, 15층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Swift"", ""Android Studio"", ""Kotlin""]",https://www.jumpit.co.kr/position/16815
IOS앱 개발 및 운영,바로티나,모바일,상시,,,"경기 성남시 분당구 황새울로 331번길 8(정자동,킨스타워), 8층 802호
·",무관,"[""Swift"", ""기술이 아님"", ""React"", ""Rxswift"", ""Firebase"", ""React Native""]",https://www.jumpit.co.kr/position/2251
Mobile APP S/W 개발자,엠브레인,모바일,상시,,,"경기 용인시 기흥구 서천로 201번길 11, 7층 제티-740호(농서동, 기흥테라타워 지식산업센터)
·",무관,"[""Android Studio"", ""Java"", ""Kotlin"", ""기술이 아님"", ""Swift"", ""Objective-C""]",https://www.jumpit.co.kr/position/11305
신입 iOS 코어개발자,잉카엔트웍스,모바일,상시,,,"서울 강남구 논현로 608 덕수빌딩 1층
·",대학교졸업(4년) 이상,"[""C / C++"", ""Java"", ""기술이 아님""]",https://www.jumpit.co.kr/position/16947
캐주얼게임 클라이언트개발,이스트게임즈,게임개발,상시,,,"서울 서초구 반포대로 3, 5층
·",무관,"[""Unity"", ""C#"", ""Java"", ""JavaScript"", ""C / C++""]",https://www.jumpit.co.kr/position/7455
게임클라이언트,이스트게임즈,게임개발,상시,,,"서울 서초구 반포대로 3, 5층
·",무관,"[""C / C++"", ""Unity"", ""Unreal Engine"", ""Swift"", ""Objective-C"", ""Kotlin"", ""Java"", ""JavaScript""]",https://www.jumpit.co.kr/position/2036
모바일 메타버스 클라이언트 개발자,라이프페스타,게임개발,상시,,,"서울 강남구 선릉로 428, 위워크 선릉 3호점
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""C#"", ""C / C++"", ""AR"", ""WebGL"", ""OpenGL"", ""Unity"", ""기술이 아님"", ""Android Studio""]",https://www.jumpit.co.kr/position/6744
유니티 클라이언트 하이퍼캐주얼 게임 개발자,먼데이오프,게임개발,상시,,,"서울 강남구 봉은사로 465 아이타워 14층
·",무관,"[""Unity""]",https://www.jumpit.co.kr/position/16599
[곰앤컴퍼니 관계사] 언리얼 개발자 모집 (클라),코드스토리,게임개발,상시,,,"서울 구로구 디지털로242길 , 511호
·",무관,"[""C / C++"", ""Unreal Engine"", ""AWS""]",https://www.jumpit.co.kr/position/6097
로블록스 개발자,111퍼센트,게임개발,상시,,,"서울 강남구 테헤란로 152, 33층
·",무관,"[""Lua"", ""C / C++""]",https://www.jumpit.co.kr/position/15918
모바일 게임 유니티 개발자,아이엠파인,게임개발,상시,,,"서울 마포구 잔다리로 31, 4층, 5층
·",무관,"[""Unity"", ""C#"", ""기술이 아님""]",https://www.jumpit.co.kr/position/15966
개발 툴 프로그래머 모집,잔디소프트,게임개발,상시,,,"서울 영등포구 선유로52길 11, 6층
·",무관,"[""Lua"", ""HTML"", ""Node.js"", ""JavaScript"", ""C / C++"", ""기술이 아님"", ""Python""]",https://www.jumpit.co.kr/position/8855
언리얼엔진 클라이언트 개발자,버들,게임개발,상시,,,"서울 강남구 봉은사로 541 10층
·",무관,"[""C / C++"", ""Unreal Engine"", ""기술이 아님""]",https://www.jumpit.co.kr/position/15822
캐주얼게임 서버 개발 담당자,이스트게임즈,게임개발,상시,,,"서울 서초구 반포대로 3, 5층
·",무관,"[""Node.js"", ""MySQL"", ""MongoDB"", ""Linux"", ""C#"", ""C / C++"", ""Redis"", ""Git"", ""Jenkins""]",https://www.jumpit.co.kr/position/1649
게임서버,이스트게임즈,게임개발,상시,,,"서울 서초구 반포대로 3, 5층
·",무관,"[""C / C++"", ""Node.js"", ""MySQL"", ""Docker"", ""C#"", ""JavaScript"", ""Python""]",https://www.jumpit.co.kr/position/2038
모바일 메타버스 서버 개발자,라이프페스타,게임개발,상시,,,"서울 강남구 선릉로 428, 19층 104호
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Java"", ""MySQL"", ""Linux"", ""C / C++"", ""AWS"", ""Redis"", ""Azure"", ""Vert.x"", ""Go"", ""NoSQL""]",https://www.jumpit.co.kr/position/6745
Unity Client 개발자 모집,마이베네핏,게임개발,상시,,,"서울 서초구 신반포대로 241, 7호선 반포역사 안
·",무관,"[""Unity"", ""C / C++"", ""c#"", ""Git""]",https://www.jumpit.co.kr/position/15538
[위메이드XR] 서버 프로그래머,위메이드,게임개발,2023-05-31,,,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·",무관,"[""C / C++"", ""기술이 아님""]",https://www.jumpit.co.kr/position/12137
데이터프로세싱 개발자,에이모,DBA,상시,,,"경기 성남시 분당구 판교로228번길17,이랜텍동9층(삼평동,판교세븐벤쳐벨리2)
·",대학교졸업(4년) 이상,"[""Airflow"", ""Spark"", ""기술이 아님"", ""Python""]",https://www.jumpit.co.kr/position/13475
[해커스 교육그룹] DBA담당자(신입/경력),챔프스터디,DBA,상시,,,"서울 서초구 강남대로61길 23, 203호
·",고등학교졸업 이상,"[""Redis"", ""MySQL"", ""MariaDB"", ""SQL"", ""NoSQL"", ""MSSQL"", ""AWS"", ""기술이 아님"", ""Oracle"", ""Shell""]",https://www.jumpit.co.kr/position/12274
AI 개발자 채용,피아스페이스,DBA,상시,,,"서울 서초구 태봉로 114 양재AI허브 5층, 8층 피아스페이스
·",대학교졸업(4년) 이상,"[""Python"", ""NumPy"", ""Pandas"", ""기술이 아님"", ""Tensorflow"", ""PyTorch"", ""Git"", ""EDA"", ""FastAPI""]",https://www.jumpit.co.kr/position/16900
Junior Data Engineer,트릿지,데이터 엔지니어,2023-06-06,,,"서울 서초구 방배로 226, 1층,2층, 4층, 5층, 6층, 별관2층
·",대학교졸업(4년) 이상,"[""SQL"", ""Python"", ""AWS"", ""Hadoop"", ""Spark"", ""Kafka"", ""NoSQL"", ""기술이 아님"", ""Snowflake""]",https://www.jumpit.co.kr/position/15946
데이터 분석가 모집,게임듀오,데이터 엔지니어,상시,,,"경기 성남시 수정구 창업로 43 B동 907호
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""SQL"", ""Python"", ""Superset"", ""Data Studio"", ""Tableau""]",https://www.jumpit.co.kr/position/16081
[캐시워크] 데이터분석 담당 (석사/박사),넛지헬스케어,데이터 엔지니어,상시,,,"서울 강남구 역삼로1길 8
·",석사졸업 이상,"[""SQL"", ""R"", ""Python"", ""Tableau"", ""Redash"", ""Notion"", ""기술이 아님""]",https://www.jumpit.co.kr/position/16350
데이터 사이언티스트 채용,온택트헬스,데이터 엔지니어,2023-05-31,,,"서울 서대문구 이화여대길 50-5 이룸타워 5층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""R"", ""기술이 아님"", ""Git"", ""Jira"", ""Confluence""]",https://www.jumpit.co.kr/position/1899
[코스닥상장사] 엑셈 데이터 사이언티스트 (신입),엑셈,데이터 엔지니어,상시,,,"서울 강서구 마곡중앙8로5길 40 엑셈
·",무관,"[""기술이 아님""]",https://www.jumpit.co.kr/position/16909
AI/빅데이터 - Data Scientist 연구개발 채용,비스텔리젼스,데이터 엔지니어,상시,,,"서울 서초구 바우뫼로 128
·",석사졸업 이상,"[""R"", ""Python"", ""MATLAB"", ""Tensorflow"", ""기술이 아님""]",https://www.jumpit.co.kr/position/15397
[전문연구요원] 컴퓨터비전 엔지니어,로민,AL/ML,상시,,,"서울 서초구 서초대로 396, 1707, 1702호(서초동, 강남빌딩
·",무관,"[""기술이 아님""]",https://www.jumpit.co.kr/position/15008
인공지능(AI) Data Scientist 채용(박사급),마인즈앤컴퍼니,AL/ML,상시,,,"서울 서초구 서초대로77길 17, 1308호
·",박사졸업(졸업예정자 가능),"[""기술이 아님"", ""Python"", ""PyTorch"", ""Tensorflow""]",https://www.jumpit.co.kr/position/4202
Machine Learning Engineer (강화학습),마키나락스,AL/ML,상시,,,"서울 서초구 강남대로 343, 12층
·",무관,"[""Python"", ""Tensorflow"", ""Pandas"", ""EDA"", ""PyTorch"", ""기술이 아님""]",https://www.jumpit.co.kr/position/12702
"이미지, 영상, NLP 분야 인공지능 개발자 모집",라온버드,AL/ML,2023-06-30,,,"경기 수원시 영통구 이의동 1279 401호
·",석사졸업 이상,"[""기술이 아님"", ""NLP"", ""Git""]",https://www.jumpit.co.kr/position/14430
AI R&D (Research and Development) Engineer (신입/전문연구요원 가능),이마고웍스,AL/ML,상시,,,"서울 강남구 강남대로 636
·",석사졸업 이상,"[""기술이 아님"", ""C / C++"", ""PyTorch"", ""Tensorflow""]",https://www.jumpit.co.kr/position/4463
[신입/경력] 비디오 코덱 엔지니어 채용,블루닷,AL/ML,상시,,,"서울 강남구 언주로 527, 4층
·",대학교졸업(4년) 이상,"[""Python"", ""Spring"", ""AWS"", ""C / C++"", ""Git""]",https://www.jumpit.co.kr/position/15100
[전문연구원] NPU Compiler Engineer,모빌린트,AL/ML,상시,,,"서울 강남구 테헤란로19길 5, 7층
·",석사졸업 이상(졸업예정자 가능),"[""Python"", ""C / C++"", ""Linux"", ""기술이 아님""]",https://www.jumpit.co.kr/position/10026
Deep Learning Research Engineer,모빌린트,AL/ML,상시,,,"서울 강남구 테헤란로19길 5, 7층
·",석사졸업 이상(졸업예정자 가능),"[""Python"", ""PyTorch"", ""Tensorflow"", ""기술이 아님"", ""C / C++""]",https://www.jumpit.co.kr/position/15824
머신러닝 엔지니어,온택트헬스,AL/ML,2023-05-31,,,"서울 서대문구 이화여대길 50-5 이룸타워 5층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Python"", ""Java"", ""AWS"", ""GCP"", ""기술이 아님"", ""Linux"", ""Azure""]",https://www.jumpit.co.kr/position/6550
[전문연구요원] 자연어처리 엔지니어,로민,AL/ML,상시,,,"서울 서초구 서초대로 396, 1707, 1702호(서초동, 강남빌딩
·",무관,"[""기술이 아님""]",https://www.jumpit.co.kr/position/15010
[신입] 딥러닝 알고리즘 엔지니어,블루닷,AL/ML,상시,,,"서울 강남구 언주로 527, 4층
·",대학교졸업(4년) 이상,"[""기술이 아님"", ""PyTorch"", ""Tensorflow""]",https://www.jumpit.co.kr/position/15101
AI Engineer (ML/DL),데이터비,AL/ML,상시,,,"서울 마포구 백범로31길 21 서울창업허브 별관 404호
·",대학교졸업(4년) 이상,"[""Python"", ""PyTorch"", ""Tensorflow"", ""scikit-learn"", ""기술이 아님""]",https://www.jumpit.co.kr/position/16272
Deep Learning Optimization Engineer,모빌린트,AL/ML,상시,,,"서울 강남구 테헤란로19길 5, 7층
·",석사졸업 이상(졸업예정자 가능),"[""Python"", ""PyTorch"", ""Tensorflow"", ""기술이 아님"", ""C / C++""]",https://www.jumpit.co.kr/position/15823
AI 컴파일러 개발자 채용,티에스엔랩,AL/ML,상시,,,"경기 용인시 기흥구 기흥로 60-1
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""기술이 아님""]",https://www.jumpit.co.kr/position/16746
