공고명,회사명,직무,마감일,근무지,기술스택,링크
백엔드 개발자,바디프랜드,백엔드,2023-06-09,"서울 강남구 양재천로 163
·","[""Java"", ""Spring"", ""AWS"", ""Linux"", ""JavaScript"", ""Git"", ""NoSQL""]",https://www.jumpit.co.kr/position/3450
[웨이즈원] 내비게이션 지도 및 소프트웨어 개발,웨이즈원,백엔드,상시 채용,"경기 의왕시 이미로 40, D동 521호
·","[""C / C++""]",https://www.jumpit.co.kr/position/14471
서버/백엔드 개발자 신입/경력 채용,써모랩코리아,백엔드,상시 채용,"서울 강남구 강남대로 114길 8 (논현동) 능인빌딩 6층
·","[""Java"", ""Spring"", ""MySQL"", ""Git"", ""AWS""]",https://www.jumpit.co.kr/position/10739
백엔드(Node.js) 개발자,클라썸,백엔드,상시 채용,"서울 강남구 테헤란로2길 27, 14층 1401호
·","[""AWS"", ""GCP"", ""Node.js"", ""JavaScript"", ""TypeScript"", ""NoSQL"", ""MSA""]",https://www.jumpit.co.kr/position/13709
플랫폼 서버 개발,위메이드,백엔드,2023-06-30,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·","[""PHP"", ""Java"", ""Node.js"", ""MySQL"", ""AWS"", ""GCP"", ""Azure""]",https://www.jumpit.co.kr/position/12973
[H2OKOREA] 솔루션개발본부_백엔드 개발자,에이치투오호스피탈리티,백엔드,상시 채용,"서울 강남구 논현로 98길 28, 2층(역삼동)
·","[""Java"", ""Spring"", ""MySQL"", ""MariaDB""]",https://www.jumpit.co.kr/position/15379
백엔드 개발자 채용,파인더스,백엔드,상시 채용,"서울 영등포구 의사당대로 83 4층 101호
·","[""Java"", ""Spring"", ""MariaDB"", ""Nest.js"", ""MongoDB"", ""AWS""]",https://www.jumpit.co.kr/position/16929
PC Application UX/UI 항공우주부품 시험 플랫폼 개발 및 유지관리,루미르,백엔드,상시 채용,"경기 용인시 수지구 신수로 767, A동 1103호
·","[""Java"", ""C / C++"", ""Python"", ""Flask""]",https://www.jumpit.co.kr/position/3397
블록체인 게임 플랫폼 스마트 컨트랙트 개발자,위메이드,백엔드,2023-06-30,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·","[""""]",https://www.jumpit.co.kr/position/14807
웹/서버 개발자,브로드웨이브,백엔드,상시 채용,"서울 강서구 마곡중앙로 161-8 두산더랜드파크 B동 620호
·","[""Java"", ""AWS"", ""MQTT"", ""Spring"", ""JavaScript"", ""HTML""]",https://www.jumpit.co.kr/position/8537
서버/백엔드 개발자 채용,원투씨엠,백엔드,상시 채용,"서울 서초구 양재동 16-6
·","[""Spring"", ""MySQL"", ""AWS"", ""Azure""]",https://www.jumpit.co.kr/position/8442
웹 백엔드 개발자,알고리고,백엔드,상시 채용,"서울 강남구 봉은사로 319, 4층
·","[""Python"", ""Java"", ""Node.js"", ""AWS"", ""MySQL"", ""MariaDB"", ""PostgreSQL""]",https://www.jumpit.co.kr/position/16634
[신입/경력] Java 개발자 모집,유니원아이앤씨,백엔드,상시 채용,"서울 영등포구 국회대로70길 19, 대하빌딩 9층
·","[""Java"", ""Spring"", ""MySQL"", ""HTML"", ""CSS"", ""JavaScript"", ""Mybatis""]",https://www.jumpit.co.kr/position/15821
웹 에이전시 PHP 및 JAVA 웹 개발자 모집,코워커넷,백엔드,상시 채용,"서울 은평구 진흥로 182
·","[""PHP"", ""MySQL"", ""Linux"", ""Java""]",https://www.jumpit.co.kr/position/2303
리눅스 서버 개발자(신입),아이페이지온,백엔드,상시 채용,"서울 강남구 테헤란로14길5, 9층
·","[""C / C++"", ""Linux""]",https://www.jumpit.co.kr/position/15942
게임 플랫폼 백엔드 개발자,밸로프,백엔드,상시 채용,"서울 금천구 디지털로130 601호
·","[""PHP"", ""MySQL"", ""Git""]",https://www.jumpit.co.kr/position/13888
"PHP, React.js 개발자 모집",아트맵,백엔드,상시 채용,"대구 광역시 북구 호암로 51 삼성창조캠퍼스 벤처오피스동 512호 아트맵
·","[""PHP"", ""React""]",https://www.jumpit.co.kr/position/8963
PHP 개발자 모집,아트맵,백엔드,상시 채용,"대구 광역시 북구 호암로 51 삼성창조캠퍼스 벤처오피스동 512호 아트맵
·","[""PHP""]",https://www.jumpit.co.kr/position/9407
게임엔진 엔지니어 백엔드 개발자,알리아스,백엔드,상시 채용,,"[""Unity"", ""C / C++""]",https://www.jumpit.co.kr/position/1413
[연구실험장비] 소프트웨어 개발자(서버 개발),제이오텍,백엔드,상시 채용,"대전 유성구 테크노2로 153
·","[""Linux"", ""C / C++"", ""PHP"", ""HTML""]",https://www.jumpit.co.kr/position/16579
"WEB 프론트엔드 개발자 (웹대시보드, 웹관리자)",씨케이스택,프론트엔드,상시 채용,"경기 성남시 분당구 판교로255번길 9-22, 510-1호 판교우림W-CITY
·","[""React"", ""jQuery"", ""Vue.JS"", ""Swift"", ""Kotlin""]",https://www.jumpit.co.kr/position/1623
[IoTrust] 디센트 프론트엔드 개발,아이오트러스트,프론트엔드,상시 채용,"서울 강남구 선릉로 747 삼성당빌딩 7층
·","[""Node.js"", ""Vue.JS"", ""Git"", ""HTML"", ""JavaScript"", ""CSS""]",https://www.jumpit.co.kr/position/11324
[JNPMEDI] 프론트엔드 개발자 신입 모집,제이앤피메디,프론트엔드,상시 채용,"인천 연수구 컨벤시아대로 165, 포스코타워 송도 31층
·","[""React"", ""JSX"", ""SASS"", ""Git""]",https://www.jumpit.co.kr/position/10505
[기그] 프론트엔드 개발자 채용,커넥트핏,프론트엔드,상시 채용,"서울 영등포구 의사당대로 83, (오투타워) 여의도위워크 17층
·","[""Flutter"", ""SQL"", ""fastlane"", ""Protobuf"", ""Git"", ""MQTT""]",https://www.jumpit.co.kr/position/4968
프론트엔드 개발자 채용,피아스페이스,프론트엔드,상시 채용,"서울 서초구 태봉로 114 양재AI허브 5층, 8층 피아스페이스
·","[""HTML"", ""CSS"", ""JavaScript"", ""React"", ""Vue.JS"", ""Angular"", ""Git"", ""TypeScript""]",https://www.jumpit.co.kr/position/16897
Front-end Developer 전문연구요원 채용 (석사_병역특례),스탠다임,프론트엔드,상시 채용,"서울 강남구 논현로85길 70, 3층
·","[""JavaScript"", ""React"", ""D3.js"", ""Redux"", ""Git""]",https://www.jumpit.co.kr/position/16863
웹 프론트엔드 (신입),유리프트,프론트엔드,상시 채용,"서울 강남구 강남대로 364 미왕빌딩 16층
·","[""React"", ""Git"", ""Next.js"", ""TypeScript"", ""Firebase"", ""HTML"", ""CSS"", ""JavaScript""]",https://www.jumpit.co.kr/position/12167
프론트엔드 개발자,더블미,프론트엔드,상시 채용,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
·","[""Vue.JS"", ""React"", ""TypeScript""]",https://www.jumpit.co.kr/position/16514
[서포티] Frontend 개발(신입/경력),린온컴퍼니,프론트엔드,상시 채용,"서울 강남구 강남대로 364 13층 1302호
·","[""React"", ""Redux"", ""JavaScript"", ""HTML"", ""CSS"", ""React Native""]",https://www.jumpit.co.kr/position/8902
프론트엔드 개발자,게임듀오,프론트엔드,상시 채용,"경기 성남시 수정구 창업로 43 B동 907호
·","[""CSS"", ""HTML"", ""JavaScript"", ""React"", ""TypeScript""]",https://www.jumpit.co.kr/position/16880
웹프론트엔드 및 백엔드 개발자 신입/경력 채용,엠투아이코퍼레이션,프론트엔드,상시 채용,"경기 안양시 동안구 시민대로 327번길 11-35
·","[""React"", ""Node.js""]",https://www.jumpit.co.kr/position/14544
[메셔] 프론트엔드 개발자,메셔,프론트엔드,상시 채용,"서울 강남구 도산대로 57길 8 승원빌딩 5층
·","[""JavaScript"", ""React"", ""TypeScript"", ""HTML"", ""CSS""]",https://www.jumpit.co.kr/position/14889
[신입] 프론트엔드 개발자(flutter) 모집,띵킹프렌즈,프론트엔드,상시 채용,"서울 강남구 역삼로 65길 15, 501호
·","[""Flutter"", ""C#"", ""Python"", ""Git"", ""AWS"", ""Firebase""]",https://www.jumpit.co.kr/position/16222
[세이프에듀] php 프론트엔드 개발자 채용,새임,프론트엔드,상시 채용,"서울 마포구 양화로 186 LC Tower 4층
·","[""PHP"", ""HTML"", ""CSS"", ""JavaScript"", ""MySQL"", ""Node.js"", ""Kotlin""]",https://www.jumpit.co.kr/position/12319
프론트엔드 개발자 채용,파인더스,프론트엔드,상시 채용,"서울 영등포구 의사당대로 83 4층 101호
·","[""React"", ""React Native"", ""HTML"", ""CSS"", ""SASS"", ""Redux""]",https://www.jumpit.co.kr/position/16932
웹 프론트엔드 개발자 병역특례 보충역 모집,팬마음,프론트엔드,상시 채용,"서울 강남구 역삼로3길 17-6 , 10층
·","[""React"", ""JavaScript"", ""jQuery"", ""Node.js""]",https://www.jumpit.co.kr/position/14346
온라인 시식 커머스 플랫폼 식후경 프론트엔드 개발자,푼타컴퍼니,프론트엔드,상시 채용,"서울 강동구 천호대로 1139 964호 (길동, 강동그린타워)
·","[""JavaScript"", ""React"", ""CSS"", ""HTML"", ""PHP"", ""Vue.JS"", ""jQuery""]",https://www.jumpit.co.kr/position/2481
플랫폼 서비스 개발 팀원,히비스,프론트엔드,상시 채용,"서울 강동구 성내동 19 5층 502호
·","[""jQuery"", ""JavaScript""]",https://www.jumpit.co.kr/position/1790
프론트엔드 경력 채용 (React),코드크레인,프론트엔드,상시 채용,"서울 광진구 천호대로 537, 15층
·","[""React"", ""Node.js"", ""MySQL"", ""JavaScript"", ""HTML"", ""CSS""]",https://www.jumpit.co.kr/position/9436
프론트엔드 개발자 모집,바로티나,프론트엔드,상시 채용,"경기 성남시 분당구 황새울로 224, 920호
·","[""JavaScript"", ""React"", ""AWS"", ""Git"", ""Apache"", ""TypeScript"", ""MySQL"", ""Linux"", ""HTML"", ""CSS""]",https://www.jumpit.co.kr/position/2335
Flutter Front-end 개발자,파토스,프론트엔드,상시 채용,"서울 구로구 디지털로30길 31 코오롱빌란트2차 10층 1009호
·","[""Flutter"", ""Node.js"", ""Docker"", ""Git"", ""Kotlin""]",https://www.jumpit.co.kr/position/6517
웹 개발자 신입 채용,쿤텍,프론트엔드,상시 채용,"경기 성남시 수정구 창업로 54, LH기업성장센터 나동 232호
·","[""Node.js"", ""Next.js"", ""React"", ""HTML"", ""CSS"", ""H2 Database"", ""MySQL"", ""MongoDB""]",https://www.jumpit.co.kr/position/16700
프론트엔드 개발자,아이트럭,프론트엔드,상시 채용,"서울 서초구 동작대로 230, 10F (방배동 화련회관)
·","[""JavaScript"", ""Node.js"", ""Python"", ""SQL"", ""Kotlin"", ""Java""]",https://www.jumpit.co.kr/position/7085
블록체인 게임 플랫폼 백오피스 프론트엔드 개발자,위메이드,프론트엔드,2023-06-30,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·","[""React"", ""Figma"", ""Angular"", ""Vue.JS""]",https://www.jumpit.co.kr/position/16077
[신입] 웹 프론트엔드 개발자,엔엑스테크놀로지,프론트엔드,상시 채용,"울산 울주군 범서읍 대리2길 57, 5층 (OS빌딩), 서울 마포구 월드컵북로 396 누리꿈스퀘어 R&D타워 1104호
·","[""HTML"", ""CSS"", ""JavaScript"", ""React"", ""Angular"", ""NoSQL""]",https://www.jumpit.co.kr/position/7937
프론트엔드 개발자 모집,복지용구의료기,프론트엔드,상시 채용,"전남 순천시 해룡면 순광로218 1층 (수)의료기
·","[""HTML"", ""CSS"", ""JavaScript"", ""Electron""]",https://www.jumpit.co.kr/position/14796
웹 프론트엔드 개발자(병역특례_보충역 지원 가능),아이티엘,프론트엔드,상시 채용,"서울 서초구 바우뫼로 175, 4층,5층(양재동,창덕빌딩)
·","[""JavaScript"", ""Git"", ""React"", ""Vue.JS"", ""HTML"", ""CSS""]",https://www.jumpit.co.kr/position/6608
Vue 프론트엔드 개발자,테이블엔조이,프론트엔드,상시 채용,"서울 구로구 디지털로26길 111 제이앤케이디지털타워 401호
·","[""JavaScript"", ""Vue.JS"", ""Nuxt.js"", ""PM2"", ""TypeScript"", ""CSS"", ""SASS"", ""React""]",https://www.jumpit.co.kr/position/14044
프론트엔드 개발자 채용,원투씨엠,프론트엔드,상시 채용,"경기 성남시 분당구 판교로255번길 35 (판교실리콘파크) a동 5층
·","[""Vue.JS"", ""JavaScript"", ""CSS"", ""HTML"", ""Nginx"", ""OAuth2""]",https://www.jumpit.co.kr/position/8443
[JNPMEDI] 풀스택 개발자 신입 모집,제이앤피메디,웹개발,상시 채용,"인천 연수구 컨벤시아대로 165, 포스코타워 송도 31층
·","[""React"", ""TypeScript"", ""JSX"", ""SASS"", ""Git"", ""Node.js"", ""MySQL"", ""AWS""]",https://www.jumpit.co.kr/position/10506
ASP.NET 신입 개발자 모집,오엠티아이코리아,웹개발,2023-06-11,"서울 서초구 서초대로27길 54, 1층
·","[""ASP.NET"", ""JavaScript"", ""jQuery"", ""CSS"", ""HTML"", ""SQL 서버"", ""Azure"", ""Spring""]",https://www.jumpit.co.kr/position/15073
[병역특례] 풀스택 개발 산업기능요원 모집,넛지헬스케어,웹개발,상시 채용,"서울 강남구 역삼로1길 8
·","[""Node.js"", ""AWS"", ""Git"", ""Python"", ""JavaScript""]",https://www.jumpit.co.kr/position/12720
웹풀스택 개발자,이스트게임즈,웹개발,상시 채용,"서울 서초구 반포대로 3, 5층
·","[""Java"", ""JavaScript"", ""jQuery"", ""Spring"", ""Python"", ""Django"", ""React"", ""HTML"", ""MySQL"", ""TypeScript""]",https://www.jumpit.co.kr/position/2035
"내부전산시스템 / WEB개발, 운영 모집",아이즈비전,웹개발,상시 채용,"서울 동작구 여의대방로62길 1 2층
·","[""PHP"", ""JavaScript"", ""Linux"", ""Git"", ""SQL"", ""jQuery""]",https://www.jumpit.co.kr/position/16541
웹 풀스택 개발자,지에이파트너스,웹개발,상시 채용,"서울 구로구 디지털로34길55 코오롱싸이언스밸리2차 911호
·","[""PHP"", ""Java"", ""MySQL"", ""JavaScript"", ""Apache"", ""Linux""]",https://www.jumpit.co.kr/position/11826
AI 플랫폼컨설팅 프론트엔드 / 백엔드 개발자,애자일소다,웹개발,상시 채용,"서울 강남구 선릉로 525 인포스톰 3층
·","[""JavaScript"", ""Node.js"", ""HTML"", ""CSS"", ""jQuery"", ""MySQL"", ""Java""]",https://www.jumpit.co.kr/position/16545
