,공고명,회사명,직무,마감일,고용 형태,근무지,학력,기술 스택,링크
159,"Serverless 기반 백엔드 개발자 (DevOps, node.js)",레몬클라우드,"서버 개발자, 소프트웨어 엔지니어, Node.js 개발자",,,서울 서울 송파구 위례성대로16길 9 (방이동),,"['Git', 'Github', 'AngularJS', 'React', 'Tensorflow', 'Python', 'TypeScript', 'AWS', 'Docker', 'ElasticSearch', 'NodeJS', 'React Native']",https://www.wanted.co.kr///wd/160663
160,블록체인 엔지니어(Blockchain Engineer),스탬퍼,"서버 개발자, DevOps / 시스템 관리자, 블록체인 플랫폼 엔지니어",,,"서울 서울특별시 강남구 테헤란로20길 9, 동궁빌딩 10층",,"['Ethereum', 'Linux', 'MySQL', 'AWS', 'UNIX', 'NoSQL', 'PostgreSQL', 'Golang']",https://www.wanted.co.kr///wd/139036
161,"스크래핑(자바) 개발자 [3년 이하, 신입 가능]",기웅정보통신,"서버 개발자, 소프트웨어 엔지니어, 기술지원",,,서울 서울시 금천구 가산디지털2로 98 롯데IT캐슬 2동 613호~617호,,"['Linux', 'React', 'Java', 'JavaScript', 'jQuery', 'API', 'HTML5', 'Spring Framework', 'Spring Boot', 'Vue.JS']",https://www.wanted.co.kr///wd/154283
162,C# 개발자,에이아이에프솔루션,"서버 개발자, 개발 매니저, ERP전문가",2023-07-19,,"서울 서울특별시 성동구 광나루로 144 (성수동1가, 더스페이스타워)",,"['C#', 'ElasticSearch', 'MSSQL']",https://www.wanted.co.kr///wd/160853
163,서버/응용소프트웨어 개발자,에이아이리더,"서버 개발자, 소프트웨어 엔지니어, 개발 매니저",,,서울 중구 남대문로 9길 40 20층 2026호,,[],https://www.wanted.co.kr///wd/153931
164,[인스타워시] Backend 개발자,해피테크놀로지,"서버 개발자, 소프트웨어 엔지니어, 자바 개발자",2023-05-31,,서울 서울특별시 강남구 테헤란로13길 50 201호,,"['Git', 'Linux', 'MySQL', 'AWS', 'Docker', 'NodeJS', 'Spring Framework', 'JPA']",https://www.wanted.co.kr///wd/159603
165,블록체인 백엔드개발(신입),뉴링크,"서버 개발자, 자바 개발자, Node.js 개발자",,,서울 학동로31길 12 벤쳐캐슬 5층,,"['Android', 'Java', 'Kotlin', 'MVC', 'MVVM', 'Gradle']",https://www.wanted.co.kr///wd/88313
166,백엔드개발 - 신입,뉴링크,"서버 개발자, 자바 개발자, .NET 개발자",,,서울 학동로31길 12 벤쳐캐슬 5층,,"['Android', 'Java', 'Kotlin', 'MVC', 'MVVM', 'Gradle']",https://www.wanted.co.kr///wd/88132
167,자바 개발 및 설계,뱅가드랩,"서버 개발자, 프론트엔드 개발자, 자바 개발자",,,"서울 서울시 구로구 디지털로 32길 30, (코오롱디지털타워빌란트1차)",,"['Oracle', 'VueJS', 'Java', 'JavaScript']",https://www.wanted.co.kr///wd/107511
168,백엔드 개발자 (주니어급),패션플러스,서버 개발자,2023-05-31,,"경기 경기 성남시 분당구 판교로 242, A동 1002호",,"['.NET', 'JavaScript', 'MSSQL', 'Vue.JS']",https://www.wanted.co.kr///wd/160351
169,서버 프로그래머,기어세컨드,"서버 개발자, 기술지원",,,서울 마포구 동교동 167-24 11층,,"['GraphQL', 'React', 'SASS', 'Redux']",https://www.wanted.co.kr///wd/148537
170,백엔드 개발자 (신입),아하랩스,"서버 개발자, 파이썬 개발자, 머신러닝 엔지니어",,,경기 경기도 성남시 분당구 성남대로 43번길 10 (하나EZ타워) 712호,,"['Git', 'Python']",https://www.wanted.co.kr///wd/162184
171,게임 서버 개발자(신입),케세라게임즈,"서버 개발자, 시스템,네트워크 관리자",,,"서울 서울특별시 강남구 역삼로 175, 현승빌딩",,"['SQL', 'AWS', 'TCP', '서버', 'IP', 'API']",https://www.wanted.co.kr///wd/159919
172,백엔드 개발자 (Back-end Developer),카르도,"서버 개발자, Node.js 개발자, 블록체인 플랫폼 엔지니어",,,"서울 논현로 87길 15, 10층",,[],https://www.wanted.co.kr///wd/90057
173,"[현역 전직, 보충역 신입] 백엔드 개발자",헥슬란트,서버 개발자,,,서울 서울특별시 강남구 강남대로 340,,"['Git', 'Java', 'AWS', 'NodeJS', 'Spring Framework']",https://www.wanted.co.kr///wd/132583
174,소프트웨어 엔지니어,에임(AIM),"서버 개발자, 소프트웨어 엔지니어, 파이썬 개발자",,,서울 강남구 테헤란로5길 7,,"['Github', 'JavaScript', 'Next.js']",https://www.wanted.co.kr///wd/22341
175,소프트웨어 엔지니어 (최적화 엔진 개발),위밋모빌리티,"서버 개발자, 소프트웨어 엔지니어, C,C++ 개발자",,,서울 서울특별시 마포구 백범로31길 21 서울창업허브 본관 615호,,"['Git', 'Azure', 'MongoDB', 'Pytorch', 'Scikit-Learn', 'Tensorflow', 'Node.js', 'Python', 'C', 'AWS', 'C++', 'Docker', 'Shell Scripting', 'PostgreSQL', 'Golang', 'React.js', 'Next.js', 'Restful API']",https://www.wanted.co.kr///wd/122553
176,[배달플랫폼실] Java Server 개발자,배달로나라를구하신,"서버 개발자, 자바 개발자, DevOps / 시스템 관리자",,,경기 경기 고양시 덕양구 중앙로 643,,"['Android', 'React', 'Delphi', 'Java', 'Kotlin', 'SQL', 'AWS', 'NodeJS']",https://www.wanted.co.kr///wd/50279
177,보안엔진개발 (Linux C/Go 개발자),모니터랩,"서버 개발자, 소프트웨어 엔지니어, C,C++ 개발자",,,"서울 서울특별시 구로구 디지털로 27가길 27 아남빌딩 8, 9층",,"['Git', 'React', 'VueJS', 'HTML', 'Java', 'JavaScript', 'Node.js', 'PHP', 'Python', 'Go']",https://www.wanted.co.kr///wd/160413
178,사무자동화,케이에스엠(KSM),"서버 개발자, 데이터 엔지니어, 시스템,네트워크 관리자",2023-06-15,,경기 경기도 김포시 대곶면 소래로 71,,[],https://www.wanted.co.kr///wd/162420
179,SW 개발자 (신입),오투오,"서버 개발자, 자바 개발자, 파이썬 개발자",,,서울 서울시 서초구 매헌로 8길 47 AI 양재 허브( 희경 재단 B동) 203호,,"['Git', 'Github', 'Linux', 'MySQL', 'C / C++', 'HTML', 'JavaScript', 'Python', 'SQL', 'AWS', 'Spring Framework']",https://www.wanted.co.kr///wd/157234
180,백엔드/서버 개발자,하이어다이버시티,서버 개발자,,,서울 종로구 종로3길 17,,"['React', 'TypeScript', 'AWS', 'React Native', 'Next.js']",https://www.wanted.co.kr///wd/142094
181,백엔드 엔지니어,토기,"서버 개발자, 소프트웨어 엔지니어, 자바 개발자",,,"서울 서울특별시 영등포구 여의대로 108, 파크원타워1 4층 419호",,[],https://www.wanted.co.kr///wd/94809
182,Dev/Ops,아틀라스네트웍스,"서버 개발자, DevOps / 시스템 관리자",,,"서울 서울특별시 구로구 경인로53길 90 (에스티엑스 더블유 타워) 506호, 515호",,['Java'],https://www.wanted.co.kr///wd/72918
183,라이다 시스템 개발자,하이보,"소프트웨어 엔지니어, C,C++ 개발자, 임베디드 개발자",,,서울 서울특별시 서초구 서초대로 24길 42 진영빌딩 2층 하이보,,"['Git', 'MATLAB', 'Linux', 'C / C++', 'Python']",https://www.wanted.co.kr///wd/152757
184,통신 Protocol 검증 및 분석 신입 (통신/모뎀/프로토콜/QA),썬더소프트코리아,"소프트웨어 엔지니어, 시스템,네트워크 관리자, QA,테스트 엔지니어",,,경기 화성시 삼성1로5길 6,,"['Android', 'Linux', 'Windows Embedded', 'OpenGL', 'C / C++', 'Python', 'Children', 'debugging', 'API', '검증', '모바일 장치', 'Shell Scripting', '임베디드 소프트웨어', '안드로이드 개발', '리눅스 커널', '네트워크 개발', '검증', 'Embedded C', '모뎀', '윈도우 모바일', '전원 엔지니어링', 'QA 엔지니어링', '윈도우 프로그래밍']",https://www.wanted.co.kr///wd/151985
185,SW 시험인증원,에스티에이테스팅컨설팅(STA),소프트웨어 엔지니어,,,서울 서울특별시 강남구 테헤란로43길 18 SC빌딩 4층,,[],https://www.wanted.co.kr///wd/139856
186,응용프로그램 개발자(신입),에이피네스트,"소프트웨어 엔지니어, C,C++ 개발자",,,"서울 서울특별시 강남구 광평로 56길 10, 4층 엘에스 13호",,"['C / C++', 'C#', 'MFC']",https://www.wanted.co.kr///wd/131026
187,제어SW(PC) 개발자,코엠에스,"소프트웨어 엔지니어, C,C++ 개발자, .NET 개발자",,,경기 경기도 안양시 동안구 동편로 77,,[],https://www.wanted.co.kr///wd/128797
188,암호모듈 개발자,노르마,"소프트웨어 엔지니어, 개발 매니저",,,"서울 서울 성동구 아차산로15길 52 삼환디지털벤처타워 제202호, 203호",,"['Linux', 'Pytorch', 'Python', 'C']",https://www.wanted.co.kr///wd/120387
189,반도체/디스플레이/배터리 검사장비 SW 개발 (천안 본사),머신앤비전,"소프트웨어 엔지니어, C,C++ 개발자, 데이터 엔지니어",,,충남 충남 천안시 서북구 성환읍 왕지1길 151-1,,"['C / C++', 'Python', 'C++']",https://www.wanted.co.kr///wd/106787
190,AI/영상처리 알고리즘 Research Engineer,휴톰,"소프트웨어 엔지니어, C,C++ 개발자, 파이썬 개발자",2023-05-31,,서울 서울특별시 마포구 독막로 279 상장회사회관 6층,,"['Git', 'React', 'Node.js']",https://www.wanted.co.kr///wd/76793
191,"Software Engineer (Back-end, SDK)",코클,"소프트웨어 엔지니어, C,C++ 개발자, 임베디드 개발자",,,서울 강남구 삼성1동 봉은사로112길 6 익성빌딩 4층,,[],https://www.wanted.co.kr///wd/53409
192,딥러닝 모델 개발자,보이저엑스(VoyagerX),"소프트웨어 엔지니어, 머신러닝 엔지니어, 데이터 사이언티스트",,,서울 서초구 서초대로38길 12 마제스타시티 타워1 10층 (주)보이저엑스,,[],https://www.wanted.co.kr///wd/82150
193,S/W 개발(신입),이엘일렉트릭,"소프트웨어 엔지니어, 자바 개발자, 안드로이드 개발자",,,"경기 남양주시 순화궁로 272, 동광비즈타워 143호~146호",,"['Git', 'Github', 'Android', 'iOS', 'Linux', 'React', 'C#', 'JavaScript', 'Kotlin', 'SQL', 'AWS', 'Docker', 'Spring Framework', 'JPA', 'Xcode', 'Embedded Linux', 'Embedded C', 'React Native', 'Flutter']",https://www.wanted.co.kr///wd/146482
194,[전문연구요원 가능] 시스템 개발자 (신입),메디인테크,"소프트웨어 엔지니어, C,C++ 개발자, 파이썬 개발자",,,서울 서울특별시 종로구 대학로 60 동마루빌딩 2층,,"['Github', 'Slack', 'Linux', 'Scikit-Learn', 'C / C++', 'Python', 'C', 'C++', 'Ubuntu', 'CUDA', 'NumPy', 'Notion']",https://www.wanted.co.kr///wd/150807
195,"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자 (신입)",메디인테크,"소프트웨어 엔지니어, C,C++ 개발자, 파이썬 개발자",,,서울 서울특별시 종로구 대학로 60 동마루빌딩 2층,,"['Github', 'Slack', 'Linux', 'Scikit-Learn', 'C / C++', 'Python', 'C', 'C++', 'Ubuntu', 'CUDA', 'NumPy', 'Notion']",https://www.wanted.co.kr///wd/147487
196,[전문연구요원 가능] 인공지능 연구원 (신입),메디인테크,"소프트웨어 엔지니어, 파이썬 개발자, 머신러닝 엔지니어",,,서울 서울특별시 종로구 대학로 60 동마루빌딩 2층,,"['Github', 'Slack', 'Linux', 'Scikit-Learn', 'C / C++', 'Python', 'C', 'C++', 'Ubuntu', 'CUDA', 'NumPy', 'Notion']",https://www.wanted.co.kr///wd/147486
197,[전문연구요원 가능] 강화학습 제어 기술 연구원 (신입),메디인테크,"소프트웨어 엔지니어, 머신러닝 엔지니어",,,서울 서울특별시 종로구 대학로 60 동마루빌딩 2층,,"['Github', 'Slack', 'Linux', 'Scikit-Learn', 'C / C++', 'Python', 'C', 'C++', 'Ubuntu', 'CUDA', 'NumPy', 'Notion']",https://www.wanted.co.kr///wd/147483
198,[전문연구요원 가능] 영상처리 알고리즘 개발자 (신입),메디인테크,"소프트웨어 엔지니어, C,C++ 개발자, 파이썬 개발자",,,서울 서울특별시 종로구 대학로 60 동마루빌딩 2층,,"['Github', 'Slack', 'Linux', 'Scikit-Learn', 'C / C++', 'Python', 'C', 'C++', 'Ubuntu', 'CUDA', 'NumPy', 'Notion']",https://www.wanted.co.kr///wd/147481
199,알고리즘 코딩 테스트 문제 제작자,구름,"소프트웨어 엔지니어, 개발 매니저",,,경기 성남시 분당구 판교로 242 PDC A동 9층,,"['Git', 'MongoDB', 'React', 'Redis', 'HTML', 'Java', 'JavaScript', 'Node.js', 'SQL', 'AWS', 'HTTP', 'jQuery', 'DevOps', 'ElasticSearch', 'NodeJS', '서버 관리', '서버 아키텍처']",https://www.wanted.co.kr///wd/107555
200,[전문연구요원 가능]자동 건축 설계 엔진 프로그래머,텐일레븐,"소프트웨어 엔지니어, C,C++ 개발자, 그래픽스 엔지니어",,,"서울 서울 마포구 월드컵북로 396, 연구개발타워 10층 1001호",,"['Slack', 'React', 'C#', 'Node.js', 'Python', 'Rust', 'TypeScript', 'AWS', 'C++', 'Notion']",https://www.wanted.co.kr///wd/154925
201,응용프로그램개발(Window 개발자),웨이센(waycenInc.),"소프트웨어 엔지니어, 자바 개발자, C,C++ 개발자",2023-05-30,,서울 서울시 강남구 삼성로 524 세화빌딩 5층,,[],https://www.wanted.co.kr///wd/98527
202,[병역특례 지원 가능] 소프트웨어 개발 (BSP),드림에이스,"소프트웨어 엔지니어, 안드로이드 개발자, 임베디드 개발자",2023-05-31,,"서울 서울 성동구 성수일로 19, 유한타워 1/2/3/8층",,"['Android', 'Linux', 'C / C++', '개발', '연구 및 개발', '기술 개발']",https://www.wanted.co.kr///wd/148780
203,[산업기능요원/보충역] ARGO 개발자,테크타카(ARGO),소프트웨어 엔지니어,,,서울 서울특별시 강남구 테헤란로26길 14 대세빌딩 9층,,[],https://www.wanted.co.kr///wd/160316
204,[산업기능요원/현역] ARGO 개발자,테크타카(ARGO),소프트웨어 엔지니어,2023-06-30,,서울 서울특별시 강남구 테헤란로26길 14 대세빌딩 9층,,[],https://www.wanted.co.kr///wd/147419
205,[R&D] Software Engineer (신입),클로버추얼패션(CLOVirtualFashion),"소프트웨어 엔지니어, C,C++ 개발자, 그래픽스 엔지니어",,,서울 서울 강남구 테헤란로 152,,"['Github', 'JIRA', 'Slack', 'Pytorch', 'Docker']",https://www.wanted.co.kr///wd/16234
206,자율주행 개발자,긴트,"소프트웨어 엔지니어, C,C++ 개발자",,,서울 경기도 수원시 영통구 대학3로 7 나보나스퀘어 5층 긴트,,"['GraphQL', 'Node.js', 'Python', 'AWS', 'REST', 'API']",https://www.wanted.co.kr///wd/141290
207,임베디드소프트웨어 개발자,긴트,"소프트웨어 엔지니어, C,C++ 개발자, 임베디드 개발자",,,서울 경기도 수원시 영통구 대학3로 7 나보나스퀘어 5층 긴트,,"['GraphQL', 'Node.js', 'Python', 'AWS', 'REST', 'API']",https://www.wanted.co.kr///wd/131064
208,iOS 모바일 앱 개발,아이센스,"소프트웨어 엔지니어, iOS 개발자",,,서울 서울특별시 서초구 반포대로28길 43 아이센스빌딩,,"['Android', 'SCM', 'C', 'C++', 'SVN', '임베디드 소프트웨어', 'RTOS', 'NFC', 'ADC', 'DACS']",https://www.wanted.co.kr///wd/142176
