,공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
146,기술지원팀 게임 클라이언트 개발자 (Unity)-전문연구요원,쿡앱스,"안드로이드, 모바일 게임, 게임 클라이언트",상시 채용,정규직,5000 ~ 8000 만원,경기도 성남시 분당구 대왕판교로660 유스페이스1B동 8층 쿡앱스,,"['Unity', 'C++', 'C#']",https://programmers.co.kr/job_positions/3872
147,[산업기능요원] 웹 프론트엔드 개발자,와이오엘오,프론트엔드,상시 채용,정규직,,"서울 마포구 월드컵로10길 5-6, (서교동) 1,2층",,"['ReactJS', 'JavaScript', 'CSS', 'Vue.js']",https://programmers.co.kr/job_positions/17424
148,웹 프론트엔드 개발자,와이오엘오,프론트엔드,상시 채용,정규직,3000 ~ 6000 만원,"서울 마포구 월드컵로10길 5-6, (서교동) 1,2층",,"['Vue.js', 'CSS', 'JavaScript', 'ReactJS']",https://programmers.co.kr/job_positions/15971
149,(주)투게더아트 모바일 앱 개발자,투게더아트,"안드로이드, iOS",상시 채용,정규직,,"서울특별시 강남구 봉은사로 429 위즈빌딩, 4층(삼성동,위즈빌딩)",,"['flutter', 'React Native', 'Android', 'iOS']",https://programmers.co.kr/job_positions/17380
150,의료용 증강현실(AR) 소프트웨어 개발,SKIA,"응용 프로그램, VR/AR/3D, 그래픽스",상시 채용,정규직,3400 ~ 6000 만원,"서울 구로구 디지털로 288, (구로동) 1502호",,"['C#', 'Swift', 'C++', 'Unity', 'iOS', 'ASP.NET', 'HLSL', 'OOP', 'Git', 'Docker']",https://programmers.co.kr/job_positions/16315
151,"AR, Image processing 전문 연구원",SKIA,"머신러닝, 인공지능(AI), 로보틱스 미들웨어",상시 채용,정규직,3400 ~ 6000 만원,"서울 구로구 디지털로 288, (구로동) 1502호",,"['OpenCV', 'Machine Learning', 'C++', 'Python', 'Image Processing', 'SLAM', 'AR']",https://programmers.co.kr/job_positions/8794
152,파이썬 백엔드 개발자,한국클라우드,"서버/백엔드, 웹 풀스택, 인공지능(AI)",상시 채용,정규직,3000 ~ 6000 만원,"서울 금천구 서부샛길 606, (가산동) B동 432호",,"['Git', 'NLP', 'Python', 'PyTorch', 'ReactJS', 'Redis', 'Docker']",https://programmers.co.kr/job_positions/17353
153,"백엔드 엔지니어 (Backend Engineer / Python, Django)",뮤즈라이브,서버/백엔드,상시 채용,정규직,,"서울특별시 마포구 월드컵북로56길 19, 10층 뮤즈라이브(상암동, 드림타워)",,"['Django', 'Python', 'DRF(Django REST framework)', 'Docker']",https://programmers.co.kr/job_positions/12168
154,서버 프로그래머,크레이브몹,"서버/백엔드, 모바일 게임, 게임 서버",상시 채용,정규직,4000 ~ 10000 만원,"서울 성동구 왕십리로10길 6, (성수동1가) 1208-1212",,"['Redis', 'MongoDB', 'JavaScript', 'Node.js', 'AWS EC2', 'ReactJS']",https://programmers.co.kr/job_positions/17335
155,자바스크립트 BackEnd 개발자,슈프리마,"서버/백엔드, 웹 풀스택",상시 채용,정규직,,"경기도 성남시 분당구 정자일로 248, 17층 5호(정자동, 파크뷰오피스타워) ",,"['Node.js', 'JavaScript', 'ReactJS']",https://programmers.co.kr/job_positions/17276
156,XaaS/SDx Solution Archiect,엔에이치엔크로센트,"웹 풀스택, DBA, 개발PM",상시 채용,정규직,,"서울시 서초구 강남대로43길 6, 2,3층",,"['DBA(Database administration)', 'OpenStack', 'Azure']",https://programmers.co.kr/job_positions/17089
157,Performance Management,엔에이치엔크로센트,"웹 풀스택, 시스템 소프트웨어, QA",상시 채용,정규직,,"서울시 서초구 강남대로43길 6, 2,3층",,,https://programmers.co.kr/job_positions/17091
158,Quality Control & Assuarance,엔에이치엔크로센트,"웹 풀스택, 시스템 소프트웨어, QA",상시 채용,정규직,,"서울시 서초구 강남대로43길 6, 2,3층",,"['OpenStack', 'Linux', 'Python']",https://programmers.co.kr/job_positions/17092
159,Portal Devleopment,엔에이치엔크로센트,"웹 풀스택, 시스템 소프트웨어, 임베디드 소프트웨어",상시 채용,정규직,,"서울시 서초구 강남대로43길 6, 2,3층",,"['ReactJS', 'Angular', 'Spring Boot']",https://programmers.co.kr/job_positions/17094
160,Middelware Development,엔에이치엔크로센트,"웹 풀스택, 데이터 엔지니어링, 임베디드 소프트웨어",상시 채용,정규직,,"서울시 서초구 강남대로43길 6, 2,3층",,"['OpenStack', 'Spring Boot', 'Python']",https://programmers.co.kr/job_positions/17095
161,Terminal Device/GuestOS Development,엔에이치엔크로센트,"웹 풀스택, 데이터 엔지니어링, 시스템 소프트웨어",상시 채용,정규직,,"서울시 서초구 강남대로43길 6, 2,3층",,"['C++', 'Python', 'Linux']",https://programmers.co.kr/job_positions/17097
