,공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
222,플랫폼 개발자,해긴,"서버/백엔드, 프론트엔드, 웹 풀스택",상시 채용,정규직,,"서울 구로구 경인로 662, (신도림동, 디큐브시티) 오피스동 39층 주식회사 해긴",,"['MySQL', 'Redis', 'Vue.js', 'C#', '.NET']",https://programmers.co.kr/job_positions/9016
223,TA (Technical Artist) / VR게임,데브즈유나이티드게임즈,"VR/AR/3D, 그래픽스",상시 채용,정규직,,"서울 강남구 학동로 105, (논현동) ",,,https://programmers.co.kr/job_positions/14829
224,3D 모델러 / VR게임,데브즈유나이티드게임즈,"VR/AR/3D, 그래픽스",상시 채용,정규직,,"서울 강남구 학동로 105, (논현동) ",,['3Ds Max'],https://programmers.co.kr/job_positions/14827
225,Junior Data Engineer,트릿지,"서버/백엔드, 데이터 엔지니어링",상시 채용,정규직,4000 ~ 8000 만원,"서울특별시 서초구 방배로 226, 2, 4, 5, 6, 별관2층(방배동, 넥센강남타워)",,"['Python', 'Django', 'Apache Hadoop', 'Apache Kafka', 'PostgreSQL', 'Node.js']",https://programmers.co.kr/job_positions/14660
226,Data Acquisition Engineer,트릿지,"서버/백엔드, 데이터 엔지니어링",상시 채용,정규직,,"서울특별시 서초구 방배로 226, 2, 4, 5, 6, 별관2층(방배동, 넥센강남타워)",,"['Python', 'Node.js', 'Django', 'Docker']",https://programmers.co.kr/job_positions/14657
227,".NET 기반 개발, 네트워크 프로그램 개발, C/C++/Java 개발자",알티베이스,"서버/백엔드, 시스템/네트워크, 시스템 소프트웨어",상시 채용,정규직,3000 ~ 6000 만원,"서울 구로구 디지털로 306, (구로동) 대륭포스트타워2차 10층 1012호",,"['C', 'C#', 'Java']",https://programmers.co.kr/job_positions/14328
228,QA Engineer(QA 엔지니어)(병역특례 가능),AB180,QA,상시 채용,정규직,,"서울특별시 서초구 강남대로61길 17, 3층(서초동, 밀라텔 쉐르빌)",,"['Python', 'Kotlin', 'Appium', 'Selenium', 'Cucumber', 'AWS Lambda', 'AWS S3']",https://programmers.co.kr/job_positions/13604
229,[토스뱅크] Server Developer (Internal Product),비바리퍼블리카(토스),"서버/백엔드, 시스템 소프트웨어",상시 채용,정규직,,"서울특별시 강남구 테헤란로 131, 13층(역삼동, 한국지식재산센터))",,"['Apache Kafka', 'Jenkins', 'Spinnaker', 'Docker', 'Git', 'Consul', 'Nginx', 'HAProxy', 'Kubernetes', 'Apache ZooKeeper', 'Memcached', 'Redis', 'Apache Hadoop', 'MongoDB', 'MySQL', 'Hibernate', 'JPA(Java Persistent API)', 'Spring Cloud', 'Spring Boot', 'Spring', 'Netty', 'Gradle', 'Java', 'Kotlin']",https://programmers.co.kr/job_positions/14301
230,소프트웨어 개발자,핀그램,"머신러닝, 인공지능(AI)",상시 채용,정규직,4500 ~ 10000 만원,"경기 용인시 기흥구 흥덕1로 13, (영덕동) 흥덕IT밸리 타워동 2207호 ",,"['iOS', 'Android', 'Java', 'Python']",https://programmers.co.kr/job_positions/8411
231,전자제어 개발자,태하,"시스템/네트워크, 시스템 소프트웨어, 임베디드 소프트웨어",상시 채용,정규직,3000 ~ 8000 만원,경기도 남양주시 와부읍 수레로661번안길3,,"['C#', 'C']",https://programmers.co.kr/job_positions/14308
232,[토스뱅크] Server Developer (Platform),비바리퍼블리카(토스),"서버/백엔드, 시스템 소프트웨어",상시 채용,정규직,,"서울특별시 강남구 테헤란로 131, 13층(역삼동, 한국지식재산센터))",,"['Apache Kafka', 'Jenkins', 'Spinnaker', 'Docker', 'Git', 'Consul', 'Nginx', 'HAProxy', 'Kubernetes', 'Apache ZooKeeper', 'Memcached', 'Redis', 'Apache Hadoop', 'MongoDB', 'MySQL', 'Hibernate', 'JPA(Java Persistent API)', 'Spring Cloud', 'Spring Boot', 'Spring', 'Netty', 'Gradle', 'Java', 'Kotlin']",https://programmers.co.kr/job_positions/14302
233,[토스뱅크] Server Developer (Product),비바리퍼블리카(토스),"서버/백엔드, 시스템 소프트웨어",상시 채용,정규직,,"서울특별시 강남구 테헤란로 131, 13층(역삼동, 한국지식재산센터))",,"['Kotlin', 'Java', 'Gradle', 'Netty', 'Spring', 'Spring Boot', 'Spring Cloud', 'JPA(Java Persistent API)', 'Hibernate', 'MySQL', 'MongoDB', 'Apache Hadoop', 'Redis', 'Memcached', 'Apache ZooKeeper', 'Kubernetes', 'HAProxy', 'Nginx', 'Consul', 'Git', 'Docker', 'Spinnaker', 'Jenkins', 'Apache Kafka']",https://programmers.co.kr/job_positions/14300
234,SW 모뎀개발자,블루버드,시스템 소프트웨어,상시 채용,정규직,4000 ~ 6000 만원,"서울 강남구 일원로 115, (일원동), 삼성생명일원역빌딩 A동 3층 ",,,https://programmers.co.kr/job_positions/12148
235,SW BSP 개발자,블루버드,"시스템 소프트웨어, 임베디드 소프트웨어",상시 채용,정규직,4000 ~ 6000 만원,"서울 강남구 일원로 115, (일원동), 삼성생명일원역빌딩 A동 3층 ",,,https://programmers.co.kr/job_positions/12145
236,'바바요(babayo)' OTT 플랫폼 프론트 개발자 (React),아이에이치큐,프론트엔드,상시 채용,정규직,3000 ~ 10000 만원,서울특별시 강서구 강서로 501-8(가양동),,"['React Admin', 'React Native']",https://programmers.co.kr/job_positions/13800
237,'바바요(babayo)'  OTT 플랫폼 모바일 개발자 (React-Native),아이에이치큐,프론트엔드,상시 채용,정규직,3000 ~ 10000 만원,서울특별시 강서구 강서로 501-8(가양동),,['React Native'],https://programmers.co.kr/job_positions/13822
238,소프트웨어 엔지니어 - 자율주행 데브코스 수강생 전용,로아스,"시스템 소프트웨어, 로보틱스 미들웨어, 응용 프로그램",상시 채용,정규직,3000 ~ 6000 만원,"경기 안양시 동안구 엘에스로116번길 39, (호계동) 사무동 402호 (호계동, 엘에스엠트론하이테크센터)",,"['Java', 'Linux', 'Linux kernel', 'Docker', 'ROS', 'Python', 'C', 'C++']",https://programmers.co.kr/job_positions/13748
239,자율주행 Perception 개발자 - 자율주행 데브코스 수강생 전용,에스티피씨,"인공지능(AI), 시스템 소프트웨어, 로보틱스 미들웨어",상시 채용,정규직,3000 ~ 6000 만원,"경기 성남시 분당구 성남대로 69, (구미동) 1층 108호",,"['C++', 'C', 'ROS', 'Linux', 'Deep Learning', 'Tensorflow']",https://programmers.co.kr/job_positions/13733
240,프론트엔드 개발자,알에스인터렉티브,"서버/백엔드, 프론트엔드, 안드로이드",상시 채용,정규직,3000 ~ 6000 만원,"서울 마포구 양화로 178-5, (동교동) 1001호",,"['React Native', 'ReactJS', 'Android', 'JavaScript']",https://programmers.co.kr/job_positions/13749
241,Unity 개발자,무브먼츠,게임 클라이언트,상시 채용,정규직,3000 ~ 6000 만원,"서울 서초구 서초대로77길 17, (서초동) 12층 무브먼츠",,"['C#', 'Git', 'REST API']",https://programmers.co.kr/job_positions/11646
242,"React 웹 프론트엔드 개발자, 부산",나인하이어,프론트엔드,상시 채용,정규직,3000 ~ 5000 만원,"부산 해운대구 센텀중앙로 97, (재송동) 센텀스카이비즈 에이-28층",,"['ReactJS', 'Redux-Saga', 'TypeScript', 'HTML', 'CSS']",https://programmers.co.kr/job_positions/11751
243,SW 안드로이드 개발자,블루버드,시스템 소프트웨어,상시 채용,정규직,4000 ~ 6000 만원,"서울 강남구 일원로 115, (일원동), 삼성생명일원역빌딩 A동 3층 ",,,https://programmers.co.kr/job_positions/12149
244,임베디드 소프트웨어 개발자,지큐브,"시스템 소프트웨어, 임베디드 소프트웨어, 응용 프로그램",상시 채용,정규직,3500 ~ 7500 만원,"경기 성남시 수정구 창업로 42, (시흥동) ",,"['C', 'C++', 'Linux', 'Linux kernel']",https://programmers.co.kr/job_positions/13457
245,데이터 개발자,쿤텍,"서버/백엔드, 웹 풀스택, 데이터 엔지니어링",상시 채용,정규직,,"경기도 성남시 수정구 창업로54, LH 성장기업센터 232호",,"['Python', 'R', 'Java', 'AWS S3', 'Azure', 'GCP(Google Cloud Platform)', 'AWS EKS', 'Kubernetes']",https://programmers.co.kr/job_positions/12730
246,클라우드 데이터 엔지니어(Data Engineer),쿤텍,"인공지능(AI), 데이터 엔지니어링, 데브옵스",상시 채용,정규직,,"경기도 성남시 수정구 창업로54, LH 성장기업센터 232호",,"['SQL', 'Python', 'Apache Spark', 'Java', 'Microsoft Azure', 'AWS EC2']",https://programmers.co.kr/job_positions/10895
247,AI/DATA Engineer,쿤텍,"인공지능(AI), 데이터 엔지니어링, 데브옵스",상시 채용,정규직,,"경기도 성남시 수정구 창업로54, LH 성장기업센터 232호",,"['Python', 'R', 'Azure', 'Machine Learning', 'GCP(Google Cloud Platform)', 'AWS EC2', 'AWS S3', 'AWS Lambda']",https://programmers.co.kr/job_positions/10007
248,공공정책사업실 R&D 개발자,한국클라우드,인공지능(AI),상시 채용,정규직,,"서울 금천구 서부샛길 606, (가산동) B동 432호",,"['Python', 'Java']",https://programmers.co.kr/job_positions/13105
249,(프로그래머스 자율주행 데브코스 수료생용 공고)SLAM Engineer,프로그래머스 KDT 데브코스 자율주행 1기,,상시 채용,정규직,,,,,https://programmers.co.kr/job_positions/7607
250,소프트웨어 엔지니어(보안솔루션),라온시큐어,인터넷 보안,상시 채용,정규직,,"서울 강남구 테헤란로 145, (역삼동) 13~18층",,"['Java', 'JSP', 'HTML', 'Vue.js', 'jQuery', 'PKI(Public key infrastructure)']",https://programmers.co.kr/job_positions/10987
251,[라온화이트햇] 소프트웨어 엔지니어(SSO/EAM/IM),라온시큐어,인터넷 보안,상시 채용,정규직,,"서울 강남구 테헤란로 145, (역삼동) 13~18층",,"['SSO', 'Oracle', 'MySQL', 'Java']",https://programmers.co.kr/job_positions/10995
252,[라온화이트햇] 소프트웨어 엔지니어(블록체인/인증),라온시큐어,"인터넷 보안, 블록체인",상시 채용,정규직,,"서울 강남구 테헤란로 145, (역삼동) 13~18층",,"['Spring', 'Java', 'iOS', 'PKI(Public key infrastructure)']",https://programmers.co.kr/job_positions/10997
253,Frontend UI 개발자,휴라,프론트엔드,상시 채용,정규직,,"대전 유성구 반석로 10, (반석동) 501호, 506호",,"['C#', 'WPF', 'Unity', 'flutter', 'ASP.NET']",https://programmers.co.kr/job_positions/12871
254,산업기능요원 개발자,엑스이허브,"서버/백엔드, 프론트엔드, 웹 풀스택",상시 채용,정규직,,"서울 강남구 논현로149길 67-10, (논현동) ",,,https://programmers.co.kr/job_positions/5897
255,Software Developer,Scanline VFX Korea,,상시 채용,계약직(1년 이상),,"서울시 마포구 매봉산로 37, DMC산학협력연구센터 904호",,"['Python', 'C++']",https://programmers.co.kr/job_positions/8005
256,[인텔리전스랩스] 선행개발실 백엔드 개발자(Go/Python),넥슨코리아,"서버/백엔드, 웹 풀스택",상시 채용,정규직,,경기도 성남시 분당구 판교로256번길 7 (삼평동),,"['Go', 'Python', 'MySQL']",https://programmers.co.kr/job_positions/12664
257,Unity 클라이언트 개발자,이큐포올,"안드로이드, iOS, 모바일 게임",상시 채용,정규직,3000 ~ 6000 만원,"서울 강남구 논현로76길 11, (역삼동) 4층",,['Unity'],https://programmers.co.kr/job_positions/12435
258,머신러닝 개발자,아이트럭,머신러닝,상시 채용,정규직,,"서울 서초구 동작대로 230, (방배동) 화련회관 10층",,"['Python', 'Numpy', 'Pandas', 'Scikit-Learn']",https://programmers.co.kr/job_positions/12196
259,프론트엔드 개발자,아이트럭,프론트엔드,상시 채용,정규직,,"서울 서초구 동작대로 230, (방배동) 화련회관 10층",,"['TypeScript', 'ReactJS', 'Next.js', 'Redux.js', 'Redux-Thunk', 'Sass(SCSS)', 'Azure Emotion', 'Material-UI']",https://programmers.co.kr/job_positions/12195
260,백엔드 개발자,아이트럭,서버/백엔드,상시 채용,정규직,,"서울 서초구 동작대로 230, (방배동) 화련회관 10층",,"['Node.js', 'TypeScript', 'REST API', 'ExpressJS', 'MySQL', 'Sequelize.js', 'AWS EC2', 'AWS RDS', 'AWS S3']",https://programmers.co.kr/job_positions/12194
261,넷킬러 기술지원 담당자,넷킬러,"시스템/네트워크, 시스템 소프트웨어, 인터넷 보안",상시 채용,정규직,,"서울 중구 삼일대로 343, (저동1가) 위워크 8층",,"['GCP(Google Cloud Platform)', 'JavaScript', 'Linux']",https://programmers.co.kr/job_positions/12006
262,GNSS/GPS (위성항법) 솔루션 개발자,피피솔,응용 프로그램,상시 채용,정규직,,"서울특별시 금천구 서부샛길 606 대성디폴리스지식산업센터, B동 2311호",,['MATLAB'],https://programmers.co.kr/job_positions/11730
263,LMS / CMS 개발자  ,이노솔루션,"서버/백엔드, 프론트엔드",상시 채용,정규직,3000 ~ 6000 만원,"서울 마포구 연남로1길 44, (연남동) ",,"['HTML', 'JavaScript', 'jQuery', 'MySQL', 'PHP', 'CSS', 'CodeIgniter']",https://programmers.co.kr/job_positions/11814
264,클라우드 보안 엔지니어,쿤텍,"시스템/네트워크, 시스템 소프트웨어, 인터넷 보안",상시 채용,정규직,,"경기도 성남시 수정구 창업로54, LH 성장기업센터 232호",,"['Linux', 'Python', 'Windows Server']",https://programmers.co.kr/job_positions/11618
265,SPOT 로봇 제어 응용 프로그램 개발자,컨워스,"로보틱스 미들웨어, 사물인터넷(IoT), 응용 프로그램",상시 채용,정규직,4000 ~ 6000 만원,"서울 서대문구 연세로 50, 공학원 417호",,"['Python', 'Docker', 'AWS EC2', 'WebSocket', 'WebRTC']",https://programmers.co.kr/job_positions/11412
266,[잔디소프트] MMORPG 개발 툴 프로그래머,잔디소프트,게임 클라이언트,상시 채용,정규직,,"서울 영등포구 선유로52길 11, 6층 (당산동6가) ",,"['C++', 'Lua', 'Python', 'JavaScript', 'C']",https://programmers.co.kr/job_positions/11357
267,[토스뱅크] Internal Product Developer (고객 상담 시스템),비바리퍼블리카(토스),"서버/백엔드, 프론트엔드, 웹 풀스택",상시 채용,정규직,,"서울 강남구 테헤란로 142, (역삼동) ",,"['Java', 'JSP', 'MyBatis', 'MySQL', 'Oracle', 'JavaScript', 'jQuery', 'Docker', 'Kubernetes', 'Microservice Architecture', 'Linux', 'SQL', 'Redis', 'Apache Kafka']",https://programmers.co.kr/job_positions/11369
268,[인텔리전스랩스] 매치메이킹 서버 개발자,넥슨코리아,"서버/백엔드, 게임 서버",상시 채용,정규직,,경기 성남시 분당구 판교로256번길 7,,"['Go', 'Redis', 'Python', 'Elasticsearch', 'AWS ECS', 'MySQL', 'Terraform']",https://programmers.co.kr/job_positions/9328
269,맞춤형 솔루션 SW 개발자,쎄딕,"시스템 소프트웨어, 응용 프로그램",상시 채용,정규직,3200 ~ 6000 만원,"서울 금천구 가산디지털1로 145, (가산동) 1202호",,"['WPF', 'C#', 'MySQL', 'C++', 'MariaDB']",https://programmers.co.kr/job_positions/10994
270,인플루언서 마케팅 - 네이티브 앱 개발자,TAGby,"안드로이드, iOS",상시 채용,정규직,,"서울 강남구 테헤란로 123, (역삼동) ",,"['React Native', 'flutter']",https://programmers.co.kr/job_positions/3672
271,프론트엔드 개발자 모집,릴리커버 ,"프론트엔드, 웹 풀스택",상시 채용,정규직,2800 ~ 6000 만원,"대구 동구 동대구로 475, (신천동) 12층",,"['JavaScript', 'Vue.js', 'REST API', 'HTML', 'HTML5', 'CSS', 'CSS3', 'Git']",https://programmers.co.kr/job_positions/10418
272,백엔드 경력 개발자 모집,릴리커버 ,"서버/백엔드, 인공지능(AI), 데이터 엔지니어링",상시 채용,정규직,2800 ~ 6000 만원,"대구 동구 동대구로 475, (신천동) 12층",,"['Python', 'MariaDB', 'REST API', 'PostgreSQL', 'Git', 'Tensorflow', 'Flask']",https://programmers.co.kr/job_positions/10417
273,UX/UI 개발,루미르,"서버/백엔드, 프론트엔드, 응용 프로그램",상시 채용,정규직,4000 ~ 7000 만원,"경기 용인시 수지구 신수로 767, (동천동) A동 621호",,"['Python', 'C', 'C++', 'Java']",https://programmers.co.kr/job_positions/9963
274,OpenGL/GLSL 개발자,컨워스,"서버/백엔드, 프론트엔드",상시 채용,정규직,5000 ~ 8000 만원,"서울 서대문구 연세로 50, 공학원 419호",,"['OpenGL', 'WebGL']",https://programmers.co.kr/job_positions/9838
275,3D/2D 지도 프론트엔드 개발자,컨워스,프론트엔드,상시 채용,정규직,3000 ~ 6000 만원,"서울 서대문구 연세로 50, 공학원 419호",,"['HTML', 'CSS', 'JavaScript', 'ReactJS', 'jQuery', 'Node.js']",https://programmers.co.kr/job_positions/9827
276,브리치  React Native  앱  개발자,브리치,"안드로이드, iOS",상시 채용,정규직,3000 ~ 6000 만원,"서울 강남구 봉은사로18길 85, (역삼동) L1 , 브리치",,"['ReactJS', 'JavaScript', 'React Native']",https://programmers.co.kr/job_positions/8981
277,프론트엔드&백엔드 개발자,브리치,"서버/백엔드, 프론트엔드, 웹 풀스택",상시 채용,정규직,3500 ~ 8000 만원,"서울 강남구 봉은사로18길 85, (역삼동) L1 , 브리치",,"['AngularJS', 'Git', 'HTML', 'Java', 'JavaScript', 'MySQL', 'PHP', 'Python', 'ReactJS', 'Vue.js']",https://programmers.co.kr/job_positions/8943
278,웹서버개발자,핀크,"서버/백엔드, 프론트엔드, 웹 풀스택",상시 채용,정규직,,"서울 중구 남대문로9길 40, (다동) 22층",,"['Git', 'Java', 'JavaScript', 'Spring', 'MySQL', 'jQuery', 'Python', 'ReactJS', 'Redis', 'PHP']",https://programmers.co.kr/job_positions/8884
279,Back-end서버개발자,핀크,"서버/백엔드, 프론트엔드, 웹 풀스택",상시 채용,정규직,,"서울 중구 남대문로9길 40, (다동) 22층",,"['Git', 'Java', 'JavaScript', 'jQuery', 'MySQL', 'Node.js', 'PHP', 'Python', 'ReactJS', 'Spring', 'Vue.js']",https://programmers.co.kr/job_positions/8883
280,Back-end 개발(PHP),코멘토,서버/백엔드,상시 채용,정규직,,"서울 중구 한강대로 416, (남대문로5가) 서울스퀘어 15층 101호",,"['PHP', 'Laravel', 'MongoDB']",https://programmers.co.kr/job_positions/8844
281,C/C++ 개발자 (유선센서),네오리진,"시스템/네트워크, 시스템 소프트웨어",상시 채용,정규직,,서울특별시 강남구 학동로 155 (논현동),,"['Linux', 'C++', 'C']",https://programmers.co.kr/job_positions/5426
282,종근당 천안공장 전산운영,벨아이앤에스,"안드로이드, iOS, 응용 프로그램",상시 채용,정규직,,충남 천안시 서북구 성거읍 망향로 797-48 ,,['SAP'],https://programmers.co.kr/job_positions/8771
283,Vrew 데스크탑 앱 개발자,보이저엑스,"서버/백엔드, 프론트엔드, 인공지능(AI)",상시 채용,정규직,4800 ~ 20000 만원,"서울 서초구 서초대로38길 12, (서초동, 마제스타시티, 힐스테이트 서리풀) 마제스타시티타워2, 9층",,"['Python', 'Node.js', 'Docker', 'Git', 'JavaScript', 'CSS', 'ReactJS', 'Webpack']",https://programmers.co.kr/job_positions/3703
284,모바일 앱 개발자,보이저엑스,"안드로이드, iOS",상시 채용,정규직,4800 ~ 20000 만원,"서울 서초구 서초대로38길 12, (서초동, 마제스타시티, 힐스테이트 서리풀) 마제스타시티타워2, 9층",,['iOS'],https://programmers.co.kr/job_positions/3825
285,QA,TAGby,QA,상시 채용,정규직,,"서울 강남구 테헤란로 507, (삼성동) 8F",,,https://programmers.co.kr/job_positions/3165
286,Web Developer(Python),TAGby,"서버/백엔드, 프론트엔드, 웹 풀스택",상시 채용,정규직,3000 ~ 9999 만원,"서울 강남구 테헤란로 507, (삼성동) 8F",,['Python'],https://programmers.co.kr/job_positions/1956
287,Software Engineer (Engine 개발),밀리만코리아,"서버/백엔드, 응용 프로그램",상시 채용,정규직,5000 ~ 7000 만원,"서울 중구 세종대로 136, (태평로1가) 22층",,,https://programmers.co.kr/job_positions/7148
288,Software Engineer (Application 개발),밀리만코리아,"프론트엔드, 응용 프로그램",상시 채용,정규직,5000 ~ 7000 만원,"서울 중구 세종대로 136, (태평로1가) 22층",,,https://programmers.co.kr/job_positions/7147
289,[IT사업부 연구소] SW Back-End 엔지니어,이성,"서버/백엔드, 시스템 소프트웨어, 응용 프로그램",상시 채용,정규직,3000 ~ 7000 만원,서울시 금천구 가산디지털1로 19 대륭테크노타운18차,,"['Linux', 'Python', 'Node.js']",https://programmers.co.kr/job_positions/7125
290,QT/GTK C++ 개발자,쓰리에스소프트,응용 프로그램,상시 채용,정규직,,"서울 서초구 마방로6길 3, (양재동) ",,['C++'],https://programmers.co.kr/job_positions/5810
291,Senior Software Engineer,데이블,"프론트엔드, 웹 풀스택, 시스템 소프트웨어",상시 채용,정규직,,"서울 강남구 테헤란로 507, (삼성동) 4층",,"['Python', 'MySQL', 'Redis']",https://programmers.co.kr/job_positions/6519
292,C & C++ 응용프로그램 개발자,비플,응용 프로그램,상시 채용,정규직,3000 ~ 5500 만원,"서울 강남구 테헤란로78길 16, (대치동) 노벨빌딩 7층",,"['MySQL', 'C++', 'C']",https://programmers.co.kr/job_positions/5743
293,Cloud/VDI Golang 개발,쓰리에스소프트,"서버/백엔드, 시스템/네트워크, 시스템 소프트웨어",상시 채용,정규직,,"서울 서초구 마방로6길 3, (양재동) ",,,https://programmers.co.kr/job_positions/5801
294,클라우드기반 의료플랫폼 AI(영상/음성/텍스트 인식 등)개발자,바텍 네트웍스,"머신러닝, 인공지능(AI)",상시 채용,정규직,4000 ~ 8000 만원,"경기도 화성시 삼성1로2길 13, (석우동)",,"['Tensorflow', 'Deep Learning']",https://programmers.co.kr/job_positions/2219
295,앱 개발자 ,세무통,"안드로이드, iOS",상시 채용,계약직(1년 이상),3000 ~ 6000 만원,"서울 마포구 매봉산로 18, (상암동) 502호",,"['Java', 'Android', 'iOS', 'REST API', 'Swift']",https://programmers.co.kr/job_positions/4065
296,솔루션 개발자,동방정보통신,"시스템/네트워크, 시스템 소프트웨어, 응용 프로그램",상시 채용,,3000 ~ 6000 만원,"서울 마포구 독막로 320, (도화동) 601호",,"['Java', 'C', 'C++', 'MySQL', 'Linux', 'JavaScript']",https://programmers.co.kr/job_positions/3483
297,병특 전문연구요원 개발자,솔트룩스,"서버/백엔드, 프론트엔드, 인공지능(AI)",상시 채용,,3800 ~ 4500 만원,"서울특별시 강남구 언주로 538, 4층, 5층동(역삼동, 대웅빌딩)",,"['Java', 'Deep Learning', 'NLP']",https://programmers.co.kr/job_positions/2662
298,백엔드 웹 개발자,Xinics,"서버/백엔드, 웹 풀스택",상시 채용,,,"서울특별시 구로구 디지털로31길 53, 1101호(구로동, 이엔씨벤처드림타워5차)",,"['MySQL', 'PHP', 'Laravel']",https://programmers.co.kr/job_positions/1215
299,Back-end 개발(PHP),코멘토,서버/백엔드,상시 채용,정규직,,"서울 중구 한강대로 416, (남대문로5가) 서울스퀘어 15층 101호",,"['PHP', 'Laravel', 'MongoDB']",https://programmers.co.kr/job_positions/8844
300,C/C++ 개발자 (유선센서),네오리진,"시스템/네트워크, 시스템 소프트웨어",상시 채용,정규직,,서울특별시 강남구 학동로 155 (논현동),,"['Linux', 'C++', 'C']",https://programmers.co.kr/job_positions/5426
301,종근당 천안공장 전산운영,벨아이앤에스,"안드로이드, iOS, 응용 프로그램",상시 채용,정규직,,충남 천안시 서북구 성거읍 망향로 797-48 ,,['SAP'],https://programmers.co.kr/job_positions/8771
302,Vrew 데스크탑 앱 개발자,보이저엑스,"서버/백엔드, 프론트엔드, 인공지능(AI)",상시 채용,정규직,4800 ~ 20000 만원,"서울 서초구 서초대로38길 12, (서초동, 마제스타시티, 힐스테이트 서리풀) 마제스타시티타워2, 9층",,"['Python', 'Node.js', 'Docker', 'Git', 'JavaScript', 'CSS', 'ReactJS', 'Webpack']",https://programmers.co.kr/job_positions/3703
303,모바일 앱 개발자,보이저엑스,"안드로이드, iOS",상시 채용,정규직,4800 ~ 20000 만원,"서울 서초구 서초대로38길 12, (서초동, 마제스타시티, 힐스테이트 서리풀) 마제스타시티타워2, 9층",,['iOS'],https://programmers.co.kr/job_positions/3825
304,QA,TAGby,QA,상시 채용,정규직,,"서울 강남구 테헤란로 507, (삼성동) 8F",,,https://programmers.co.kr/job_positions/3165
305,Web Developer(Python),TAGby,"서버/백엔드, 프론트엔드, 웹 풀스택",상시 채용,정규직,3000 ~ 9999 만원,"서울 강남구 테헤란로 507, (삼성동) 8F",,['Python'],https://programmers.co.kr/job_positions/1956
306,Software Engineer (Engine 개발),밀리만코리아,"서버/백엔드, 응용 프로그램",상시 채용,정규직,5000 ~ 7000 만원,"서울 중구 세종대로 136, (태평로1가) 22층",,,https://programmers.co.kr/job_positions/7148
307,Software Engineer (Application 개발),밀리만코리아,"프론트엔드, 응용 프로그램",상시 채용,정규직,5000 ~ 7000 만원,"서울 중구 세종대로 136, (태평로1가) 22층",,,https://programmers.co.kr/job_positions/7147
308,[IT사업부 연구소] SW Back-End 엔지니어,이성,"서버/백엔드, 시스템 소프트웨어, 응용 프로그램",상시 채용,정규직,3000 ~ 7000 만원,서울시 금천구 가산디지털1로 19 대륭테크노타운18차,,"['Linux', 'Python', 'Node.js']",https://programmers.co.kr/job_positions/7125
309,QT/GTK C++ 개발자,쓰리에스소프트,응용 프로그램,상시 채용,정규직,,"서울 서초구 마방로6길 3, (양재동) ",,['C++'],https://programmers.co.kr/job_positions/5810
310,Senior Software Engineer,데이블,"프론트엔드, 웹 풀스택, 시스템 소프트웨어",상시 채용,정규직,,"서울 강남구 테헤란로 507, (삼성동) 4층",,"['Python', 'MySQL', 'Redis']",https://programmers.co.kr/job_positions/6519
311,C & C++ 응용프로그램 개발자,비플,응용 프로그램,상시 채용,정규직,3000 ~ 5500 만원,"서울 강남구 테헤란로78길 16, (대치동) 노벨빌딩 7층",,"['MySQL', 'C++', 'C']",https://programmers.co.kr/job_positions/5743
312,Cloud/VDI Golang 개발,쓰리에스소프트,"서버/백엔드, 시스템/네트워크, 시스템 소프트웨어",상시 채용,정규직,,"서울 서초구 마방로6길 3, (양재동) ",,,https://programmers.co.kr/job_positions/5801
313,클라우드기반 의료플랫폼 AI(영상/음성/텍스트 인식 등)개발자,바텍 네트웍스,"머신러닝, 인공지능(AI)",상시 채용,정규직,4000 ~ 8000 만원,"경기도 화성시 삼성1로2길 13, (석우동)",,"['Tensorflow', 'Deep Learning']",https://programmers.co.kr/job_positions/2219
314,앱 개발자 ,세무통,"안드로이드, iOS",상시 채용,계약직(1년 이상),3000 ~ 6000 만원,"서울 마포구 매봉산로 18, (상암동) 502호",,"['Java', 'Android', 'iOS', 'REST API', 'Swift']",https://programmers.co.kr/job_positions/4065
315,솔루션 개발자,동방정보통신,"시스템/네트워크, 시스템 소프트웨어, 응용 프로그램",상시 채용,,3000 ~ 6000 만원,"서울 마포구 독막로 320, (도화동) 601호",,"['Java', 'C', 'C++', 'MySQL', 'Linux', 'JavaScript']",https://programmers.co.kr/job_positions/3483
316,병특 전문연구요원 개발자,솔트룩스,"서버/백엔드, 프론트엔드, 인공지능(AI)",상시 채용,,3800 ~ 4500 만원,"서울특별시 강남구 언주로 538, 4층, 5층동(역삼동, 대웅빌딩)",,"['Java', 'Deep Learning', 'NLP']",https://programmers.co.kr/job_positions/2662
317,백엔드 웹 개발자,Xinics,"서버/백엔드, 웹 풀스택",상시 채용,,,"서울특별시 구로구 디지털로31길 53, 1101호(구로동, 이엔씨벤처드림타워5차)",,"['MySQL', 'PHP', 'Laravel']",https://programmers.co.kr/job_positions/1215
